date,value
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,4
2020-02-02,0
2020-02-03,-3
2020-02-04,1
2020-02-05,4
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,-2
2020-03-04,4
2020-03-05,19
2020-03-06,1
2020-03-07,2
2020-03-08,3
2020-03-09,5
2020-03-10,5
2020-03-11,6
2020-03-12,10
2020-03-13,13
2020-03-14,8
2020-03-15,3
2020-03-16,23
2020-03-17,7
2020-03-18,23
2020-03-19,14
2020-03-20,22
2020-03-21,50
2020-03-22,60
2020-03-23,77
2020-03-24,74
2020-03-25,85
2020-03-26,87
2020-03-27,43
2020-03-28,75
2020-03-29,185
2020-03-30,70
2020-03-31,92
2020-04-01,180
2020-04-02,386
2020-04-03,328
2020-04-04,336
2020-04-05,601
2020-04-06,472
2020-04-07,693
2020-04-08,354
2020-04-09,853
2020-04-10,591
2020-04-11,547
2020-04-12,1035
2020-04-13,909
2020-04-14,796
2020-04-15,1211
2020-04-16,1076
2020-04-17,941
2020-04-18,1007
2020-04-19,991
2020-04-20,1334
2020-04-21,1553
2020-04-22,1336
2020-04-23,1383
2020-04-24,1409
2020-04-25,1684
