date,value
2012-01-01,1352
2012-01-02,2587
2012-01-03,4270
2012-01-04,4698
2012-01-05,4802
2012-01-06,4158
2012-01-07,1679
2012-01-08,2065
2012-01-09,5306
2012-01-10,5513
2012-01-11,5188
2012-01-12,5484
2012-01-13,4570
2012-01-14,1747
2012-01-15,1980
2012-01-16,4820
2012-01-17,5566
2012-01-18,6174
2012-01-19,5642
2012-01-20,4678
2012-01-21,2075
2012-01-22,2057
2012-01-23,5013
2012-01-24,5392
2012-01-25,5151
2012-01-26,4680
2012-01-27,4288
2012-01-28,1847
2012-01-29,2145
2012-01-30,5423
2012-01-31,5740
2012-02-01,5537
2012-02-02,5338
2012-02-03,4482
2012-02-04,1834
2012-02-05,2220
2012-02-06,5234
2012-02-07,5757
2012-02-08,5807
2012-02-09,5550
2012-02-10,4513
2012-02-11,1818
2012-02-12,2163
2012-02-13,5250
2012-02-14,5313
2012-02-15,5817
2012-02-16,5867
2012-02-17,4674
2012-02-18,1912
2012-02-19,2142
2012-02-20,5050
2012-02-21,5774
2012-02-22,6263
2012-02-23,5500
2012-02-24,4665
2012-02-25,2033
2012-02-26,2594
2012-02-27,5516
2012-02-28,5620
2012-02-29,5620
2012-03-01,5348
2012-03-02,4582
2012-03-03,2133
2012-03-04,2164
2012-03-05,5321
2012-03-06,5815
2012-03-07,5567
2012-03-08,5015
2012-03-09,4599
2012-03-10,1871
2012-03-11,2176
2012-03-12,5258
2012-03-13,5414
2012-03-14,5381
2012-03-15,5233
2012-03-16,4304
2012-03-17,1846
2012-03-18,1990
2012-03-19,5132
2012-03-20,5369
2012-03-21,4854
2012-03-22,4556
2012-03-23,3440
2012-03-24,1407
2012-03-25,1771
2012-03-26,4865
2012-03-27,5093
2012-03-28,5024
2012-03-29,4951
2012-03-30,3654
2012-03-31,1582
2012-04-01,1780
2012-04-02,4572
2012-04-03,4737
2012-04-04,4586
2012-04-05,4037
2012-04-06,2526
2012-04-07,1354
2012-04-08,1402
2012-04-09,3474
2012-04-10,4854
2012-04-11,4781
2012-04-12,4673
2012-04-13,3795
2012-04-14,1585
2012-04-15,1865
2012-04-16,5076
2012-04-17,5234
2012-04-18,5159
2012-04-19,5041
2012-04-20,4233
2012-04-21,1762
2012-04-22,2035
2012-04-23,5249
2012-04-24,5195
2012-04-25,4944
2012-04-26,4811
2012-04-27,4236
2012-04-28,1748
2012-04-29,1916
2012-04-30,4583
2012-05-01,4010
2012-05-02,5244
2012-05-03,5049
2012-05-04,4284
2012-05-05,2131
2012-05-06,1907
2012-05-07,4792
2012-05-08,5262
2012-05-09,5438
2012-05-10,4956
2012-05-11,4191
2012-05-12,1745
2012-05-13,1799
2012-05-14,5248
2012-05-15,5477
2012-05-16,5057
2012-05-17,4630
2012-05-18,4091
2012-05-19,1653
2012-05-20,1871
2012-05-21,4950
2012-05-22,5186
2012-05-23,5183
2012-05-24,4921
2012-05-25,3975
2012-05-26,1583
2012-05-27,1700
2012-05-28,3873
2012-05-29,5399
2012-05-30,5264
2012-05-31,4873
2012-06-01,3953
2012-06-02,1668
2012-06-03,1757
2012-06-04,4728
2012-06-05,5612
2012-06-06,5419
2012-06-07,4789
2012-06-08,4203
2012-06-09,1693
2012-06-10,1856
2012-06-11,5148
2012-06-12,5382
2012-06-13,5260
2012-06-14,5117
2012-06-15,4242
2012-06-16,1760
2012-06-17,1965
2012-06-18,5100
2012-06-19,5478
2012-06-20,5321
2012-06-21,5123
2012-06-22,4147
2012-06-23,1730
2012-06-24,1937
2012-06-25,5152
2012-06-26,5601
2012-06-27,5234
2012-06-28,4802
2012-06-29,3882
2012-06-30,1748
2012-07-01,1697
2012-07-02,4768
2012-07-03,4655
2012-07-04,4159
2012-07-05,4741
2012-07-06,3906
2012-07-07,1701
2012-07-08,1735
2012-07-09,4993
2012-07-10,5343
2012-07-11,5103
2012-07-12,4844
2012-07-13,3962
2012-07-14,1658
2012-07-15,1762
2012-07-16,4827
2012-07-17,5182
2012-07-18,5162
2012-07-19,4600
2012-07-20,3913
2012-07-21,1614
2012-07-22,1736
2012-07-23,4850
2012-07-24,5182
2012-07-25,4890
2012-07-26,4699
2012-07-27,3835
2012-07-28,1617
2012-07-29,1770
2012-07-30,5298
2012-07-31,6108
2012-08-01,4613
2012-08-02,4304
2012-08-03,3947
2012-08-04,1662
2012-08-05,1591
2012-08-06,4423
2012-08-07,4849
2012-08-08,4696
2012-08-09,4609
2012-08-10,3543
2012-08-11,1560
2012-08-12,1503
2012-08-13,4536
2012-08-14,4672
2012-08-15,4130
2012-08-16,4344
2012-08-17,3748
2012-08-18,1436
2012-08-19,1420
2012-08-20,4046
2012-08-21,4705
2012-08-22,5096
2012-08-23,4844
2012-08-24,4227
