model_name,model_id,family,provider,deployment,parameters_b,context_length_k,dataset,horizon,prompt_strategy,representation,smape,mae,rmse,inference_time_s,co2_g,cost_usd_per_1k_forecasts,run_id,evaluation_date,hardware,quantization,notes
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,zero-shot,CSV numeric,19.768,0.15018,0.24469,1.532,1.59418,0.20568,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,zero-shot,CSV numeric,19.582,0.16577,0.20954,1.411,1.8708,0.20305,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,zero-shot,CSV numeric,19.517,0.16701,0.23744,1.301,2.05458,0.15645,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,zero-shot,CSV numeric,20.37,0.16458,0.25987,1.364,2.4707,0.20123,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,zero-shot,CSV numeric,18.998,0.13273,0.19025,1.211,1.65429,0.18988,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,few-shot,CSV numeric,21.01,0.18738,0.25539,1.372,1.96956,0.16323,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,few-shot,CSV numeric,18.641,0.14334,0.18827,1.518,1.93715,0.19796,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,few-shot,CSV numeric,17.531,0.12764,0.20629,1.584,1.88748,0.16857,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,few-shot,CSV numeric,19.676,0.13477,0.17519,1.194,2.28692,0.1889,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,few-shot,CSV numeric,17.231,0.14563,0.20818,1.469,1.6398,0.15918,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot,CSV numeric,18.31,0.14058,0.20842,1.565,2.13472,0.18289,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
