Model,Temperature,Dataset,Training Start,Training End,Forecast Horizon,Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Examples,Sampling Strategy,Actual Values,Predicted Values,sMAPE SEM,MAE SEM,RMSE SEM,Deployment,Family
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,csv,9.78,10.718,11.748,38.3483211517334,0.010206,0.0393364,0.3811221999999999,0.016318,0.1443184,6774.0,164.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.843, 108.521, 110.412, 112.105, 113.467, 114.258, 115.692]",0.9625175323078536,1.1218128186110194,1.2040905281580785,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,plain,7.836,8.494,9.148,25.45114369392395,0.0128006,0.0279113999999999,0.2704262,0.0120353999999999,0.1064426,8592.0,175.4,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.243, 112.815, 114.762, 113.508, 111.294, 109.856, 110.421]",1.4456887631852158,1.6237198034143698,1.6996893833874471,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,csv,5.988,6.43,7.074,46.38282113075256,0.013986,0.0451666,0.4376092,0.0203479999999999,0.1799616,9447.0,172.8,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.243, 108.512, 109.876, 110.234, 111.598, 112.145, 112.876]",1.1080045126261897,1.206130175395674,1.241457208283878,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,plain,8.540000000000001,9.308,10.14,38.10038857460022,0.0165718,0.0401308,0.3888172,0.0158542,0.1402168,11265.0,182.0,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.824, 115.353, 112.923, 109.214, 114.754, 115.661, 118.682]",1.4559017824015463,1.6414731188782834,1.7473265293012636,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,numeric,csv,8.190000000000001,8.9,9.878,44.122228956222536,0.0114024,0.0427374,0.4140691999999999,0.0180466,0.1596056,7572.0,182.2,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.847, 109.458, 111.231, 113.766, 115.492, 118.104, 121.523]",0.5944156794701835,0.6777757741318289,0.7763916537418468,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,numeric,plain,6.645999999999999,7.197999999999999,8.224,101.5639060497284,0.014246,0.1090501999999999,1.0565632,0.0443372,0.3921256,9588.0,187.0,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.835, 109.614, 110.427, 112.058, 113.745, 117.261, 119.842]",1.3699255454220862,1.518174561768178,1.628700709154386,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,textual,csv,44.184,25.658,26.548,48.41342782974243,0.0156494,0.0502072,0.4864446,0.0209042,0.18488,10576.0,191.6,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.734, 105.892, 102.445, 100.128, 99.056, 98.471, 97.834]",38.44685339530401,19.500103179214204,19.305647204898364,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,textual,plain,9.764,10.77,11.948,217.05024490356445,0.0184668,0.2219648,2.1505656,0.1020058,0.9021544,12592.0,190.4,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.852, 113.621, 112.494, 114.018, 115.543, 118.418, 122.265]",1.694752489303379,1.925479161144052,1.9679796746917888,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,numeric,csv,6.540000000000001,7.06,7.926,25.277139902114868,0.011226,0.0250598,0.2427979999999999,0.0106718,0.094384,7460.0,177.8,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.253, 105.612, 106.441, 108.887, 110.245, 113.102, 112.874]",1.311342823215958,1.4604554084257415,1.5097304395156108,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,numeric,plain,6.564,7.074,7.962000000000001,96.7187180042267,0.0140531999999999,0.0937496,0.9083202,0.0408863999999999,0.3616064,9476.0,178.8,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.364, 108.027, 107.953, 108.472, 106.988, 101.373, 100.698]",1.0015717647777416,1.1010749293304245,1.1713940413029251,API,GLM
