Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,9.588,10.53,10.956,4.56575870513916,0.0,0.0857038,0.1925926,0.0200154,0.17702020000000002,10374.0,244.8,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[115.79, 114.13, 113.89, 110.45, 107.28, 106.94, 104.47]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.589928929229228,1.82686890607947,1.6955960603870253
cot,numeric,plain,9.104000000000001,9.946000000000002,10.424000000000001,4.812894630432129,0.0,0.0961064,0.215969,0.020157,0.1782734,12555.0,238.2,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[114.9, 117.5, 113.8, 114.3, 116.7, 110.2, 115.1]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.1301353901192546,1.2602920296502709,1.0884787549603345
cot,textual,csv,48.220000000000006,30.716,30.976,4.526950788497925,0.0,0.08624259999999999,0.19380340000000001,0.0189548,0.1676374,12033.0,225.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[124.3, 125.7, 124.1, 126.8, 123.9, 124.4, 126.1]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",36.65993835237588,18.092003095290472,18.027069257092236
cot,textual,plain,8.908,9.818000000000001,10.234,4.869050598144531,0.0,0.095888,0.21547899999999998,0.0194326,0.17186300000000002,14214.0,226.8,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[106.45, 107.93, 108.78, 107.53, 109.5, 110.32, 110.84]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",2.456689642588172,2.836145976496978,2.809645173327052
cot_few,numeric,csv,8.468,9.298,9.906,4.803246974945068,0.0,0.09307380000000001,0.2091544,0.0193532,0.1711616,11603.0,246.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[115.378, 114.942, 112.647, 108.905, 105.642, 104.302, 103.599]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,118.353
2025-02-15 00:00:00,112.923
2025-02-16 00:00:00,109.214
2025-02-17 00:00:00,114.754
2025-02-18 00:00:00,115.661
2025-02-19 00:00:00,118.682
2025-02-20 00:00:00,122.667

Output (forecast):
date,value
2025-02-21 00:00:00,122.096
2025-02-22 00:00:00,118.001
2025-02-23 00:00:00,111.916
2025-02-24 00:00:00,109.57
2025-02-25 00:00:00,107.978
2025-02-26 00:00:00,109.619
2025-02-27 00:00:00,109.491

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,105.604
2025-08-09 00:00:00,101.325
2025-08-10 00:00:00,97.763
2025-08-11 00:00:00,100.23
2025-08-12 00:00:00,100.147
2025-08-13 00:00:00,104.24
2025-08-14 00:00:00,103.289

Output (forecast):
date,value
2025-08-15 00:00:00,101.259
2025-08-16 00:00:00,98.411
2025-08-17 00:00:00,97.962
2025-08-18 00:00:00,100.39
2025-08-19 00:00:00,101.24
2025-08-20 00:00:00,105.024
2025-08-21 00:00:00,104.731

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,123.36
2026-01-31 00:00:00,120.505
2026-02-01 00:00:00,126.566
2026-02-02 00:00:00,124.353
2026-02-03 00:00:00,121.116
2026-02-04 00:00:00,119.228
2026-02-05 00:00:00,122.434

Output (forecast):
date,value
2026-02-06 00:00:00,123.632
2026-02-07 00:00:00,119.613
2026-02-08 00:00:00,118.519
2026-02-09 00:00:00,118.849
2026-02-10 00:00:00,116.584
2026-02-11 00:00:00,109.457
2026-02-12 00:00:00,109.162

[INPUT]",1.845969663889415,2.112217791800836,1.957780886616273
cot_few,numeric,plain,10.174000000000001,11.238000000000001,11.958000000000002,5.404526090621948,0.0,0.10747500000000001,0.2415168,0.021670000000000002,0.19165320000000002,14018.0,253.4,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[115.347, 117.215, 106.978, 111.904, 115.483, 109.124, 110.798]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 118.353
date: 2025-02-15 00:00:00, value: 112.923
date: 2025-02-16 00:00:00, value: 109.214
date: 2025-02-17 00:00:00, value: 114.754
date: 2025-02-18 00:00:00, value: 115.661
date: 2025-02-19 00:00:00, value: 118.682
date: 2025-02-20 00:00:00, value: 122.667

Output (forecast):
date: 2025-02-21 00:00:00, value: 122.096
date: 2025-02-22 00:00:00, value: 118.001
date: 2025-02-23 00:00:00, value: 111.916
date: 2025-02-24 00:00:00, value: 109.57
date: 2025-02-25 00:00:00, value: 107.978
date: 2025-02-26 00:00:00, value: 109.619
date: 2025-02-27 00:00:00, value: 109.491

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 105.604
date: 2025-08-09 00:00:00, value: 101.325
date: 2025-08-10 00:00:00, value: 97.763
date: 2025-08-11 00:00:00, value: 100.23
date: 2025-08-12 00:00:00, value: 100.147
date: 2025-08-13 00:00:00, value: 104.24
date: 2025-08-14 00:00:00, value: 103.289

Output (forecast):
date: 2025-08-15 00:00:00, value: 101.259
date: 2025-08-16 00:00:00, value: 98.411
date: 2025-08-17 00:00:00, value: 97.962
date: 2025-08-18 00:00:00, value: 100.39
date: 2025-08-19 00:00:00, value: 101.24
date: 2025-08-20 00:00:00, value: 105.024
date: 2025-08-21 00:00:00, value: 104.731

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 123.36
date: 2026-01-31 00:00:00, value: 120.505
date: 2026-02-01 00:00:00, value: 126.566
date: 2026-02-02 00:00:00, value: 124.353
date: 2026-02-03 00:00:00, value: 121.116
date: 2026-02-04 00:00:00, value: 119.228
date: 2026-02-05 00:00:00, value: 122.434

Output (forecast):
date: 2026-02-06 00:00:00, value: 123.632
date: 2026-02-07 00:00:00, value: 119.613
date: 2026-02-08 00:00:00, value: 118.519
date: 2026-02-09 00:00:00, value: 118.849
date: 2026-02-10 00:00:00, value: 116.584
date: 2026-02-11 00:00:00, value: 109.457
date: 2026-02-12 00:00:00, value: 109.162

[INPUT]",1.620794866724349,1.866787079449609,1.7737683050500141
cot_few,textual,csv,42.565999999999995,24.226,24.932,4.924966859817505,0.0,0.0967542,0.2174254,0.0208038,0.18399100000000002,13463.0,239.6,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[120.45, 113.14, 110.87, 107.49, 106.12, 104.71, 106.98]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,1 1 8 . 3 5 3
2025-02-15 00:00:00,1 1 2 . 9 2 3
2025-02-16 00:00:00,1 0 9 . 2 1 4
2025-02-17 00:00:00,1 1 4 . 7 5 4
2025-02-18 00:00:00,1 1 5 . 6 6 1
2025-02-19 00:00:00,1 1 8 . 6 8 2
2025-02-20 00:00:00,1 2 2 . 6 6 7

Output (forecast):
date,value
2025-02-21 00:00:00,1 2 2 . 0 9 6
2025-02-22 00:00:00,1 1 8 . 0 0 1
2025-02-23 00:00:00,1 1 1 . 9 1 6
2025-02-24 00:00:00,1 0 9 . 5 7
2025-02-25 00:00:00,1 0 7 . 9 7 8
2025-02-26 00:00:00,1 0 9 . 6 1 9
2025-02-27 00:00:00,1 0 9 . 4 9 1

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,1 0 5 . 6 0 4
2025-08-09 00:00:00,1 0 1 . 3 2 5
2025-08-10 00:00:00,9 7 . 7 6 3
2025-08-11 00:00:00,1 0 0 . 2 3
2025-08-12 00:00:00,1 0 0 . 1 4 7
2025-08-13 00:00:00,1 0 4 . 2 4
2025-08-14 00:00:00,1 0 3 . 2 8 9

Output (forecast):
date,value
2025-08-15 00:00:00,1 0 1 . 2 5 9
2025-08-16 00:00:00,9 8 . 4 1 1
2025-08-17 00:00:00,9 7 . 9 6 2
2025-08-18 00:00:00,1 0 0 . 3 9
2025-08-19 00:00:00,1 0 1 . 2 4
2025-08-20 00:00:00,1 0 5 . 0 2 4
2025-08-21 00:00:00,1 0 4 . 7 3 1

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,1 2 3 . 3 6
2026-01-31 00:00:00,1 2 0 . 5 0 5
2026-02-01 00:00:00,1 2 6 . 5 6 6
2026-02-02 00:00:00,1 2 4 . 3 5 3
2026-02-03 00:00:00,1 2 1 . 1 1 6
2026-02-04 00:00:00,1 1 9 . 2 2 8
2026-02-05 00:00:00,1 2 2 . 4 3 4

Output (forecast):
date,value
2026-02-06 00:00:00,1 2 3 . 6 3 2
2026-02-07 00:00:00,1 1 9 . 6 1 3
2026-02-08 00:00:00,1 1 8 . 5 1 9
2026-02-09 00:00:00,1 1 8 . 8 4 9
2026-02-10 00:00:00,1 1 6 . 5 8 4
2026-02-11 00:00:00,1 0 9 . 4 5 7
2026-02-12 00:00:00,1 0 9 . 1 6 2

[INPUT]",38.282859950635874,19.639450246888273,19.469978274255983
cot_few,textual,plain,146.61599999999999,81.024,81.35,5.061165714263916,0.0,0.0995378,0.2236806,0.019361200000000002,0.171234,15878.0,213.4,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.0, 1.0, 4.0, 7.0, 2.0, 1.0, 13.58875887588763]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 1 1 8 . 3 5 3
date: 2025-02-15 00:00:00, value: 1 1 2 . 9 2 3
date: 2025-02-16 00:00:00, value: 1 0 9 . 2 1 4
date: 2025-02-17 00:00:00, value: 1 1 4 . 7 5 4
date: 2025-02-18 00:00:00, value: 1 1 5 . 6 6 1
date: 2025-02-19 00:00:00, value: 1 1 8 . 6 8 2
date: 2025-02-20 00:00:00, value: 1 2 2 . 6 6 7

Output (forecast):
date: 2025-02-21 00:00:00, value: 1 2 2 . 0 9 6
date: 2025-02-22 00:00:00, value: 1 1 8 . 0 0 1
date: 2025-02-23 00:00:00, value: 1 1 1 . 9 1 6
date: 2025-02-24 00:00:00, value: 1 0 9 . 5 7
date: 2025-02-25 00:00:00, value: 1 0 7 . 9 7 8
date: 2025-02-26 00:00:00, value: 1 0 9 . 6 1 9
date: 2025-02-27 00:00:00, value: 1 0 9 . 4 9 1

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 1 0 5 . 6 0 4
date: 2025-08-09 00:00:00, value: 1 0 1 . 3 2 5
date: 2025-08-10 00:00:00, value: 9 7 . 7 6 3
date: 2025-08-11 00:00:00, value: 1 0 0 . 2 3
date: 2025-08-12 00:00:00, value: 1 0 0 . 1 4 7
date: 2025-08-13 00:00:00, value: 1 0 4 . 2 4
date: 2025-08-14 00:00:00, value: 1 0 3 . 2 8 9

Output (forecast):
date: 2025-08-15 00:00:00, value: 1 0 1 . 2 5 9
date: 2025-08-16 00:00:00, value: 9 8 . 4 1 1
date: 2025-08-17 00:00:00, value: 9 7 . 9 6 2
date: 2025-08-18 00:00:00, value: 1 0 0 . 3 9
date: 2025-08-19 00:00:00, value: 1 0 1 . 2 4
date: 2025-08-20 00:00:00, value: 1 0 5 . 0 2 4
date: 2025-08-21 00:00:00, value: 1 0 4 . 7 3 1

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 1 2 3 . 3 6
date: 2026-01-31 00:00:00, value: 1 2 0 . 5 0 5
date: 2026-02-01 00:00:00, value: 1 2 6 . 5 6 6
date: 2026-02-02 00:00:00, value: 1 2 4 . 3 5 3
date: 2026-02-03 00:00:00, value: 1 2 1 . 1 1 6
date: 2026-02-04 00:00:00, value: 1 1 9 . 2 2 8
date: 2026-02-05 00:00:00, value: 1 2 2 . 4 3 4

Output (forecast):
date: 2026-02-06 00:00:00, value: 1 2 3 . 6 3 2
date: 2026-02-07 00:00:00, value: 1 1 9 . 6 1 3
date: 2026-02-08 00:00:00, value: 1 1 8 . 5 1 9
date: 2026-02-09 00:00:00, value: 1 1 8 . 8 4 9
date: 2026-02-10 00:00:00, value: 1 1 6 . 5 8 4
date: 2026-02-11 00:00:00, value: 1 0 9 . 4 5 7
date: 2026-02-12 00:00:00, value: 1 0 9 . 1 6 2

[INPUT]",34.37611883270128,17.45182872939108,17.24234873791851
few_shot,numeric,csv,9.26,10.14,10.586,4.604015588760376,0.0,0.0882552,0.1983266,0.0200448,0.1772768,11485.0,233.2,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[115.47, 113.79, 109.66, 108.63, 112.13, 108.78, 105.97]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,118.353
2025-02-15 00:00:00,112.923
2025-02-16 00:00:00,109.214
2025-02-17 00:00:00,114.754
2025-02-18 00:00:00,115.661
2025-02-19 00:00:00,118.682
2025-02-20 00:00:00,122.667

Output (forecast):
date,value
2025-02-21 00:00:00,122.096
2025-02-22 00:00:00,118.001
2025-02-23 00:00:00,111.916
2025-02-24 00:00:00,109.57
2025-02-25 00:00:00,107.978
2025-02-26 00:00:00,109.619
2025-02-27 00:00:00,109.491

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,105.604
2025-08-09 00:00:00,101.325
2025-08-10 00:00:00,97.763
2025-08-11 00:00:00,100.23
2025-08-12 00:00:00,100.147
2025-08-13 00:00:00,104.24
2025-08-14 00:00:00,103.289

Output (forecast):
date,value
2025-08-15 00:00:00,101.259
2025-08-16 00:00:00,98.411
2025-08-17 00:00:00,97.962
2025-08-18 00:00:00,100.39
2025-08-19 00:00:00,101.24
2025-08-20 00:00:00,105.024
2025-08-21 00:00:00,104.731

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,123.36
2026-01-31 00:00:00,120.505
2026-02-01 00:00:00,126.566
2026-02-02 00:00:00,124.353
2026-02-03 00:00:00,121.116
2026-02-04 00:00:00,119.228
2026-02-05 00:00:00,122.434

Output (forecast):
date,value
2026-02-06 00:00:00,123.632
2026-02-07 00:00:00,119.613
2026-02-08 00:00:00,118.519
2026-02-09 00:00:00,118.849
2026-02-10 00:00:00,116.584
2026-02-11 00:00:00,109.457
2026-02-12 00:00:00,109.162

[INPUT]",1.0480887367012395,1.2028258394297986,1.227357323683694
few_shot,numeric,plain,11.906,13.284,13.974,5.1083691120147705,0.0,0.0999698,0.224651,0.020299400000000002,0.17953080000000002,13900.0,240.8,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,mistralai/ministral-3-3b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[118.145, 123.927, 119.806, 125.878, 118.564, 116.743, 122.341]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 118.353
date: 2025-02-15 00:00:00, value: 112.923
date: 2025-02-16 00:00:00, value: 109.214
date: 2025-02-17 00:00:00, value: 114.754
date: 2025-02-18 00:00:00, value: 115.661
date: 2025-02-19 00:00:00, value: 118.682
date: 2025-02-20 00:00:00, value: 122.667

Output (forecast):
date: 2025-02-21 00:00:00, value: 122.096
date: 2025-02-22 00:00:00, value: 118.001
date: 2025-02-23 00:00:00, value: 111.916
date: 2025-02-24 00:00:00, value: 109.57
date: 2025-02-25 00:00:00, value: 107.978
date: 2025-02-26 00:00:00, value: 109.619
date: 2025-02-27 00:00:00, value: 109.491

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 105.604
date: 2025-08-09 00:00:00, value: 101.325
date: 2025-08-10 00:00:00, value: 97.763
date: 2025-08-11 00:00:00, value: 100.23
date: 2025-08-12 00:00:00, value: 100.147
date: 2025-08-13 00:00:00, value: 104.24
date: 2025-08-14 00:00:00, value: 103.289

Output (forecast):
date: 2025-08-15 00:00:00, value: 101.259
date: 2025-08-16 00:00:00, value: 98.411
date: 2025-08-17 00:00:00, value: 97.962
date: 2025-08-18 00:00:00, value: 100.39
date: 2025-08-19 00:00:00, value: 101.24
date: 2025-08-20 00:00:00, value: 105.024
date: 2025-08-21 00:00:00, value: 104.731

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 123.36
date: 2026-01-31 00:00:00, value: 120.505
date: 2026-02-01 00:00:00, value: 126.566
date: 2026-02-02 00:00:00, value: 124.353
date: 2026-02-03 00:00:00, value: 121.116
date: 2026-02-04 00:00:00, value: 119.228
date: 2026-02-05 00:00:00, value: 122.434

Output (forecast):
date: 2026-02-06 00:00:00, value: 123.632
date: 2026-02-07 00:00:00, value: 119.613
date: 2026-02-08 00:00:00, value: 118.519
date: 2026-02-09 00:00:00, value: 118.849
date: 2026-02-10 00:00:00, value: 116.584
date: 2026-02-11 00:00:00, value: 109.457
date: 2026-02-12 00:00:00, value: 109.162

[INPUT]",1.9842721587524228,2.2918477261807775,2.088527232285947
