Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,6.1579999999999995,6.614,7.282000000000001,15.61766757965088,0.0060198000000000005,0.019066,0.1847266,0.008037800000000001,0.0710874,10373.0,277.8,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.62, 116.85, 111.43, 107.72, 113.26, 114.17, 117.19]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.3953436852618066,1.5733168784450253,1.6831500230223093
cot,numeric,plain,4.6080000000000005,4.926,5.648000000000001,17.538897705078124,0.0069394,0.023280000000000002,0.225556,0.007455399999999999,0.065938,12191.0,281.2,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[106.24, 103.87, 101.56, 104.82, 105.69, 108.45, 112.18]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.3561909894996353,1.5033948250542837,1.4782232578335384
cot,textual,csv,3.9620000000000006,4.192,4.956,12.431472206115723,0.0068428000000000004,0.0172398,0.16703079999999998,0.0053866,0.047639600000000004,12032.0,275.6,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.23, 105.89, 103.45, 104.12, 106.78, 108.34, 109.91]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.7363925583545776,0.8161519466373893,0.8892727365662346
cot,textual,plain,2.964,3.132,4.146,14.603885984420776,0.007727200000000001,0.0186596,0.18078840000000002,0.0065232,0.0576924,13850.0,267.4,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.23, 107.85, 106.92, 105.48, 104.15, 103.62, 102.89]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.557804625294556,0.5981672007056221,0.757948547066356
cot_few,numeric,csv,5.578,6.014,6.795999999999999,13.65096673965454,0.0065182,0.0124416,0.12054419999999999,0.0071368000000000004,0.0631192,11595.0,240.4,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[113.668, 110.459, 109.835, 112.261, 113.111, 116.895, 116.602]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,118.353
2025-02-15 00:00:00,112.923
2025-02-16 00:00:00,109.214
2025-02-17 00:00:00,114.754
2025-02-18 00:00:00,115.661
2025-02-19 00:00:00,118.682
2025-02-20 00:00:00,122.667

Output (forecast):
date,value
2025-02-21 00:00:00,122.096
2025-02-22 00:00:00,118.001
2025-02-23 00:00:00,111.916
2025-02-24 00:00:00,109.57
2025-02-25 00:00:00,107.978
2025-02-26 00:00:00,109.619
2025-02-27 00:00:00,109.491

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,105.604
2025-08-09 00:00:00,101.325
2025-08-10 00:00:00,97.763
2025-08-11 00:00:00,100.23
2025-08-12 00:00:00,100.147
2025-08-13 00:00:00,104.24
2025-08-14 00:00:00,103.289

Output (forecast):
date,value
2025-08-15 00:00:00,101.259
2025-08-16 00:00:00,98.411
2025-08-17 00:00:00,97.962
2025-08-18 00:00:00,100.39
2025-08-19 00:00:00,101.24
2025-08-20 00:00:00,105.024
2025-08-21 00:00:00,104.731

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,123.36
2026-01-31 00:00:00,120.505
2026-02-01 00:00:00,126.566
2026-02-02 00:00:00,124.353
2026-02-03 00:00:00,121.116
2026-02-04 00:00:00,119.228
2026-02-05 00:00:00,122.434

Output (forecast):
date,value
2026-02-06 00:00:00,123.632
2026-02-07 00:00:00,119.613
2026-02-08 00:00:00,118.519
2026-02-09 00:00:00,118.849
2026-02-10 00:00:00,116.584
2026-02-11 00:00:00,109.457
2026-02-12 00:00:00,109.162

[INPUT]",1.5977872198762888,1.7695779157753977,1.7882578113907401
cot_few,numeric,plain,4.529999999999999,4.85,5.822,16.34481210708618,0.0075362,0.0155418,0.1505804,0.0078014,0.0689962,13611.0,243.6,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.842, 106.731, 105.218, 108.456, 110.327, 113.582, 114.903]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 118.353
date: 2025-02-15 00:00:00, value: 112.923
date: 2025-02-16 00:00:00, value: 109.214
date: 2025-02-17 00:00:00, value: 114.754
date: 2025-02-18 00:00:00, value: 115.661
date: 2025-02-19 00:00:00, value: 118.682
date: 2025-02-20 00:00:00, value: 122.667

Output (forecast):
date: 2025-02-21 00:00:00, value: 122.096
date: 2025-02-22 00:00:00, value: 118.001
date: 2025-02-23 00:00:00, value: 111.916
date: 2025-02-24 00:00:00, value: 109.57
date: 2025-02-25 00:00:00, value: 107.978
date: 2025-02-26 00:00:00, value: 109.619
date: 2025-02-27 00:00:00, value: 109.491

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 105.604
date: 2025-08-09 00:00:00, value: 101.325
date: 2025-08-10 00:00:00, value: 97.763
date: 2025-08-11 00:00:00, value: 100.23
date: 2025-08-12 00:00:00, value: 100.147
date: 2025-08-13 00:00:00, value: 104.24
date: 2025-08-14 00:00:00, value: 103.289

Output (forecast):
date: 2025-08-15 00:00:00, value: 101.259
date: 2025-08-16 00:00:00, value: 98.411
date: 2025-08-17 00:00:00, value: 97.962
date: 2025-08-18 00:00:00, value: 100.39
date: 2025-08-19 00:00:00, value: 101.24
date: 2025-08-20 00:00:00, value: 105.024
date: 2025-08-21 00:00:00, value: 104.731

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 123.36
date: 2026-01-31 00:00:00, value: 120.505
date: 2026-02-01 00:00:00, value: 126.566
date: 2026-02-02 00:00:00, value: 124.353
date: 2026-02-03 00:00:00, value: 121.116
date: 2026-02-04 00:00:00, value: 119.228
date: 2026-02-05 00:00:00, value: 122.434

Output (forecast):
date: 2026-02-06 00:00:00, value: 123.632
date: 2026-02-07 00:00:00, value: 119.613
date: 2026-02-08 00:00:00, value: 118.519
date: 2026-02-09 00:00:00, value: 118.849
date: 2026-02-10 00:00:00, value: 116.584
date: 2026-02-11 00:00:00, value: 109.457
date: 2026-02-12 00:00:00, value: 109.162

[INPUT]",1.150452085051785,1.2643852261079296,1.347847914269262
cot_few,textual,csv,4.61,4.904,5.7299999999999995,13.055209016799926,0.007546,0.011877799999999999,0.11507939999999998,0.0056802,0.05023679999999999,13455.0,272.8,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.42, 106.85, 105.32, 104.89, 103.15, 105.67, 108.94]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,1 1 8 . 3 5 3
2025-02-15 00:00:00,1 1 2 . 9 2 3
2025-02-16 00:00:00,1 0 9 . 2 1 4
2025-02-17 00:00:00,1 1 4 . 7 5 4
2025-02-18 00:00:00,1 1 5 . 6 6 1
2025-02-19 00:00:00,1 1 8 . 6 8 2
2025-02-20 00:00:00,1 2 2 . 6 6 7

Output (forecast):
date,value
2025-02-21 00:00:00,1 2 2 . 0 9 6
2025-02-22 00:00:00,1 1 8 . 0 0 1
2025-02-23 00:00:00,1 1 1 . 9 1 6
2025-02-24 00:00:00,1 0 9 . 5 7
2025-02-25 00:00:00,1 0 7 . 9 7 8
2025-02-26 00:00:00,1 0 9 . 6 1 9
2025-02-27 00:00:00,1 0 9 . 4 9 1

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,1 0 5 . 6 0 4
2025-08-09 00:00:00,1 0 1 . 3 2 5
2025-08-10 00:00:00,9 7 . 7 6 3
2025-08-11 00:00:00,1 0 0 . 2 3
2025-08-12 00:00:00,1 0 0 . 1 4 7
2025-08-13 00:00:00,1 0 4 . 2 4
2025-08-14 00:00:00,1 0 3 . 2 8 9

Output (forecast):
date,value
2025-08-15 00:00:00,1 0 1 . 2 5 9
2025-08-16 00:00:00,9 8 . 4 1 1
2025-08-17 00:00:00,9 7 . 9 6 2
2025-08-18 00:00:00,1 0 0 . 3 9
2025-08-19 00:00:00,1 0 1 . 2 4
2025-08-20 00:00:00,1 0 5 . 0 2 4
2025-08-21 00:00:00,1 0 4 . 7 3 1

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,1 2 3 . 3 6
2026-01-31 00:00:00,1 2 0 . 5 0 5
2026-02-01 00:00:00,1 2 6 . 5 6 6
2026-02-02 00:00:00,1 2 4 . 3 5 3
2026-02-03 00:00:00,1 2 1 . 1 1 6
2026-02-04 00:00:00,1 1 9 . 2 2 8
2026-02-05 00:00:00,1 2 2 . 4 3 4

Output (forecast):
date,value
2026-02-06 00:00:00,1 2 3 . 6 3 2
2026-02-07 00:00:00,1 1 9 . 6 1 3
2026-02-08 00:00:00,1 1 8 . 5 1 9
2026-02-09 00:00:00,1 1 8 . 8 4 9
2026-02-10 00:00:00,1 1 6 . 5 8 4
2026-02-11 00:00:00,1 0 9 . 4 5 7
2026-02-12 00:00:00,1 0 9 . 1 6 2

[INPUT]",0.5148980481609927,0.5585212619050415,0.6266418434799897
cot_few,textual,plain,5.924,6.36,7.188,16.16872320175171,0.008491799999999999,0.0155064,0.150239,0.0080748,0.0714144,15471.0,252.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[112.45, 114.28, 110.15, 108.92, 109.67, 111.34, 113.56]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 1 1 8 . 3 5 3
date: 2025-02-15 00:00:00, value: 1 1 2 . 9 2 3
date: 2025-02-16 00:00:00, value: 1 0 9 . 2 1 4
date: 2025-02-17 00:00:00, value: 1 1 4 . 7 5 4
date: 2025-02-18 00:00:00, value: 1 1 5 . 6 6 1
date: 2025-02-19 00:00:00, value: 1 1 8 . 6 8 2
date: 2025-02-20 00:00:00, value: 1 2 2 . 6 6 7

Output (forecast):
date: 2025-02-21 00:00:00, value: 1 2 2 . 0 9 6
date: 2025-02-22 00:00:00, value: 1 1 8 . 0 0 1
date: 2025-02-23 00:00:00, value: 1 1 1 . 9 1 6
date: 2025-02-24 00:00:00, value: 1 0 9 . 5 7
date: 2025-02-25 00:00:00, value: 1 0 7 . 9 7 8
date: 2025-02-26 00:00:00, value: 1 0 9 . 6 1 9
date: 2025-02-27 00:00:00, value: 1 0 9 . 4 9 1

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 1 0 5 . 6 0 4
date: 2025-08-09 00:00:00, value: 1 0 1 . 3 2 5
date: 2025-08-10 00:00:00, value: 9 7 . 7 6 3
date: 2025-08-11 00:00:00, value: 1 0 0 . 2 3
date: 2025-08-12 00:00:00, value: 1 0 0 . 1 4 7
date: 2025-08-13 00:00:00, value: 1 0 4 . 2 4
date: 2025-08-14 00:00:00, value: 1 0 3 . 2 8 9

Output (forecast):
date: 2025-08-15 00:00:00, value: 1 0 1 . 2 5 9
date: 2025-08-16 00:00:00, value: 9 8 . 4 1 1
date: 2025-08-17 00:00:00, value: 9 7 . 9 6 2
date: 2025-08-18 00:00:00, value: 1 0 0 . 3 9
date: 2025-08-19 00:00:00, value: 1 0 1 . 2 4
date: 2025-08-20 00:00:00, value: 1 0 5 . 0 2 4
date: 2025-08-21 00:00:00, value: 1 0 4 . 7 3 1

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 1 2 3 . 3 6
date: 2026-01-31 00:00:00, value: 1 2 0 . 5 0 5
date: 2026-02-01 00:00:00, value: 1 2 6 . 5 6 6
date: 2026-02-02 00:00:00, value: 1 2 4 . 3 5 3
date: 2026-02-03 00:00:00, value: 1 2 1 . 1 1 6
date: 2026-02-04 00:00:00, value: 1 1 9 . 2 2 8
date: 2026-02-05 00:00:00, value: 1 2 2 . 4 3 4

Output (forecast):
date: 2026-02-06 00:00:00, value: 1 2 3 . 6 3 2
date: 2026-02-07 00:00:00, value: 1 1 9 . 6 1 3
date: 2026-02-08 00:00:00, value: 1 1 8 . 5 1 9
date: 2026-02-09 00:00:00, value: 1 1 8 . 8 4 9
date: 2026-02-10 00:00:00, value: 1 1 6 . 5 8 4
date: 2026-02-11 00:00:00, value: 1 0 9 . 4 5 7
date: 2026-02-12 00:00:00, value: 1 0 9 . 1 6 2

[INPUT]",0.9863042127051875,1.0865541864076547,1.0136833825213867
few_shot,numeric,csv,5.24,5.5920000000000005,6.494,12.678562593460082,0.0065084,0.0145868,0.14133020000000002,0.0055306,0.0489124,11483.0,255.6,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.421, 105.362, 105.126, 107.883, 108.761, 111.024, 112.183]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,118.353
2025-02-15 00:00:00,112.923
2025-02-16 00:00:00,109.214
2025-02-17 00:00:00,114.754
2025-02-18 00:00:00,115.661
2025-02-19 00:00:00,118.682
2025-02-20 00:00:00,122.667

Output (forecast):
date,value
2025-02-21 00:00:00,122.096
2025-02-22 00:00:00,118.001
2025-02-23 00:00:00,111.916
2025-02-24 00:00:00,109.57
2025-02-25 00:00:00,107.978
2025-02-26 00:00:00,109.619
2025-02-27 00:00:00,109.491

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,105.604
2025-08-09 00:00:00,101.325
2025-08-10 00:00:00,97.763
2025-08-11 00:00:00,100.23
2025-08-12 00:00:00,100.147
2025-08-13 00:00:00,104.24
2025-08-14 00:00:00,103.289

Output (forecast):
date,value
2025-08-15 00:00:00,101.259
2025-08-16 00:00:00,98.411
2025-08-17 00:00:00,97.962
2025-08-18 00:00:00,100.39
2025-08-19 00:00:00,101.24
2025-08-20 00:00:00,105.024
2025-08-21 00:00:00,104.731

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,123.36
2026-01-31 00:00:00,120.505
2026-02-01 00:00:00,126.566
2026-02-02 00:00:00,124.353
2026-02-03 00:00:00,121.116
2026-02-04 00:00:00,119.228
2026-02-05 00:00:00,122.434

Output (forecast):
date,value
2026-02-06 00:00:00,123.632
2026-02-07 00:00:00,119.613
2026-02-08 00:00:00,118.519
2026-02-09 00:00:00,118.849
2026-02-10 00:00:00,116.584
2026-02-11 00:00:00,109.457
2026-02-12 00:00:00,109.162

[INPUT]",0.6081282759418443,0.6616675902596408,0.5293826593306584
few_shot,numeric,plain,4.654,4.982,5.832,12.373746824264526,0.0074946,0.0144338,0.1398454,0.0053988000000000005,0.047746,13499.0,248.2,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.388, 105.194, 103.172, 101.936, 100.472, 99.851, 99.017]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 118.353
date: 2025-02-15 00:00:00, value: 112.923
date: 2025-02-16 00:00:00, value: 109.214
date: 2025-02-17 00:00:00, value: 114.754
date: 2025-02-18 00:00:00, value: 115.661
date: 2025-02-19 00:00:00, value: 118.682
date: 2025-02-20 00:00:00, value: 122.667

Output (forecast):
date: 2025-02-21 00:00:00, value: 122.096
date: 2025-02-22 00:00:00, value: 118.001
date: 2025-02-23 00:00:00, value: 111.916
date: 2025-02-24 00:00:00, value: 109.57
date: 2025-02-25 00:00:00, value: 107.978
date: 2025-02-26 00:00:00, value: 109.619
date: 2025-02-27 00:00:00, value: 109.491

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 105.604
date: 2025-08-09 00:00:00, value: 101.325
date: 2025-08-10 00:00:00, value: 97.763
date: 2025-08-11 00:00:00, value: 100.23
date: 2025-08-12 00:00:00, value: 100.147
date: 2025-08-13 00:00:00, value: 104.24
date: 2025-08-14 00:00:00, value: 103.289

Output (forecast):
date: 2025-08-15 00:00:00, value: 101.259
date: 2025-08-16 00:00:00, value: 98.411
date: 2025-08-17 00:00:00, value: 97.962
date: 2025-08-18 00:00:00, value: 100.39
date: 2025-08-19 00:00:00, value: 101.24
date: 2025-08-20 00:00:00, value: 105.024
date: 2025-08-21 00:00:00, value: 104.731

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 123.36
date: 2026-01-31 00:00:00, value: 120.505
date: 2026-02-01 00:00:00, value: 126.566
date: 2026-02-02 00:00:00, value: 124.353
date: 2026-02-03 00:00:00, value: 121.116
date: 2026-02-04 00:00:00, value: 119.228
date: 2026-02-05 00:00:00, value: 122.434

Output (forecast):
date: 2026-02-06 00:00:00, value: 123.632
date: 2026-02-07 00:00:00, value: 119.613
date: 2026-02-08 00:00:00, value: 118.519
date: 2026-02-09 00:00:00, value: 118.849
date: 2026-02-10 00:00:00, value: 116.584
date: 2026-02-11 00:00:00, value: 109.457
date: 2026-02-12 00:00:00, value: 109.162

[INPUT]",1.7027877143085102,1.9212220069528663,2.0310425894106707
