Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,50.4,1992.86,2081.01,0.0,0.0,0.0,8.3e-05,0.00073,8294,2442,29.310694217681885,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[5000.0, 5100.0, 5050.0, 4980.0, 5030.0, 5080.0, 5120.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,38.15,1384.29,1564.84,0.0,0.0,0.0,5.3e-05,0.000469,8294,2207,18.4698805809021,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4200.0, 4300.0, 4350.0, 4450.0, 4550.0, 4600.0, 4650.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,33.3,1158.57,1291.51,0.0,0.0,0.0,4.1e-05,0.000361,8294,2058,14.034594297409058,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4210.0, 4330.0, 4240.0, 4120.0, 4190.0, 4150.0, 4280.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,32.51,1124.29,1230.72,0.0,0.0,0.0,5.1e-05,0.000449,8294,2378,17.57875347137451,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4300.0, 4390.0, 4280.0, 4200.0, 4120.0, 4040.0, 3950.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,33.79,1180.71,1321.97,0.0,0.0,0.0,4.5e-05,0.000396,8294,2008,15.511561155319214,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4225.0, 4270.0, 4200.0, 4140.0, 4210.0, 4280.0, 4350.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,43.69,1665.71,1880.08,0.0,0.0,0.0,6.8e-05,0.0006,10932,3082,23.67852807044983,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4300.0, 4400.0, 4520.0, 4670.0, 4850.0, 5050.0, 5280.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,38.9,886.43,991.56,0.0,0.0,0.0,0.000185,0.001636,10932,7114,65.36321640014648,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[3386.0, 2981.0, 2577.0, 2172.0, 1768.0, 1363.0, 958.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,186.54,84720.0,84726.77,0.0,0.0,0.0,7.4e-05,0.000651,10932,2954,25.7390661239624,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[87000.0, 87250.0, 87500.0, 87800.0, 88050.0, 88300.0, 88550.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,199.46,3054.57,3111.42,0.0,0.0,0.0,6e-05,0.000529,10932,2642,20.814878940582275,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,199.46,3054.57,3111.42,0.0,0.0,0.0,8.5e-05,0.000756,10932,3523,29.928653240203857,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[INPUT]"
