Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,plain,45.41,1894.43,2172.11,0.0,0.421057,0.946196,0.087293,0.772033,11921,208,18.437435626983643,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4895.0, 4476.0, 4975.0, 5098.0, 5250.0, 5533.0, 6089.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,plain,54.91,2430.29,2514.65,0.0,0.226753,0.509557,0.037762,0.333977,11921,236,10.502366065979004,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5498.0, 6129.0, 6760.0, 5990.0, 5610.0, 5230.0, 4850.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,plain,53.73,2393.57,2666.44,0.0,0.200233,0.449961,0.037538,0.331992,11921,205,9.189331531524658,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4896.0, 5124.0, 5402.0, 5680.0, 5958.0, 6236.0, 6514.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,plain,55.91,2525.0,2774.34,0.0,0.19721,0.443168,0.032267,0.28537,11921,207,9.326555252075195,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4980.0, 5250.0, 5680.0, 5920.0, 6120.0, 6300.0, 6480.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,plain,50.5,2168.86,2374.35,0.0,0.206086,0.463115,0.034606,0.306057,11921,210,9.350729942321776,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4985.0, 5132.0, 5286.0, 5448.0, 5617.0, 5793.0, 5976.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,plain,199.4,3288.86,3354.8,0.0,0.448386,1.007609,0.063649,0.562925,13423,185,17.892024993896484,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 4.0, 5.0, 6.0, 5.0, 5.0, 4.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,plain,199.3,3288.14,3354.2,0.0,0.216371,0.486227,0.034732,0.307174,13423,216,10.000678777694702,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 3.0, 8.0, 5.0, 9.0, 3.0, 6.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,plain,199.14,3287.0,3353.14,0.0,0.216645,0.486844,0.033729,0.298303,13423,216,9.793751239776611,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 9.0, 5.0, 8.0, 9.0, 6.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,plain,199.46,3289.29,3355.18,0.0,0.184214,0.413964,0.035919,0.317676,13423,186,8.533149003982544,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 4.0, 5.0, 3.0, 4.0, 5.0, 5.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,plain,199.39,3288.69,3354.55,0.0,0.198792,0.446724,0.03907,0.345541,13423,202,9.284038066864014,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.8, 5.2, 4.9, 4.7, 4.6, 4.9, 5.1]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,csv,51.93,2305.0,2410.38,0.0,0.408441,0.917846,0.070656,0.624891,9740,243,17.064409732818604,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5849.0, 6874.0, 7159.0, 5101.0, 5377.0, 4589.0, 4241.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,csv,35.72,1360.0,1424.15,0.0,0.240467,0.540376,0.039525,0.349565,9740,254,10.92085027694702,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4869.0, 5126.0, 4987.0, 4675.0, 4501.0, 4312.0, 4105.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,csv,41.17,1671.71,1825.14,0.0,0.220266,0.49498,0.042424,0.375207,9740,236,10.139200448989868,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4289.0, 5872.0, 6018.0, 5201.0, 4807.0, 4423.0, 4147.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,csv,40.07,1613.14,1646.02,0.0,0.249861,0.561486,0.047127,0.416796,9740,262,11.31634783744812,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5948.0, 5672.0, 5297.0, 4921.0, 4545.0, 4170.0, 3794.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,zero_shot,0,,csv,29.83,1090.0,1172.91,0.0,0.261758,0.58822,0.040606,0.359124,9740,276,11.845540523529053,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4985.0, 4567.0, 4782.0, 4123.0, 4354.0, 3998.0, 3876.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,csv,199.18,3287.14,3353.15,0.0,0.403803,0.907423,0.06684,0.591141,11242,187,16.153323888778687,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[8.0, 5.0, 4.0, 6.0, 9.0, 5.0, 8.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,csv,199.67,3290.71,3356.34,0.0,0.201054,0.451807,0.036621,0.323878,11242,212,9.346800327301024,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 4.0, 3.0, 3.0, 2.0, 2.0, 1.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,csv,199.56,3290.0,3355.73,0.0,0.179493,0.403355,0.033633,0.297456,11242,187,8.254066944122314,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 4.0, 3.0, 4.0, 2.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,csv,199.32,3288.29,3354.27,0.0,0.207937,0.467275,0.039747,0.351525,11242,215,9.45291233062744,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 4.0, 5.0, 6.0, 6.0, 5.0, 6.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,textual,zero_shot,0,,csv,199.29,3287.91,3353.81,0.0,0.188849,0.42438,0.032089,0.283803,11242,201,8.904500961303711,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.8, 5.9, 6.4, 6.2, 5.6, 5.0, 5.7]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistralai/ministral-3-14b-reasoning,0.7,numeric,cot,0,,plain,50.42,2135.14,2178.56,0.0,0.476864,1.071604,0.07792,0.689133,12039,235,19.0203115940094,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5894.0, 5672.0, 5543.0, 5415.0, 5287.0, 5159.0, 5031.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]"
