Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,52.5,2346.0,2693.32,0.0,0.336139,0.755367,0.069946,0.618617,11924,235,5.965273857116699,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4593.0, 4890.0, 5437.0, 6054.0, 6702.0, 6155.0, 5646.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,50.86,2208.86,2472.09,0.0,0.14226,0.319686,0.037895,0.335151,11924,232,2.456795215606689,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4859.0, 4924.0, 5211.0, 5685.0, 5821.0, 5974.0, 6043.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,27.26,992.5,1139.46,0.0,0.130162,0.292499,0.035275,0.311979,11924,218,2.326511144638061,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4869.5, 4273.5, 5116.5, 3478.5, 3866.5, 4069.5, 4328.5]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,49.24,2106.57,2351.66,0.0,0.143479,0.322425,0.039677,0.35091,11924,231,2.4475462436676025,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4958.0, 4873.0, 5248.0, 5617.0, 6022.0, 5859.0, 5224.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,50.15,2141.86,2330.03,0.0,0.139187,0.312779,0.039639,0.35057,11924,232,2.446106672286988,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4984.0, 5078.0, 5452.0, 5673.0, 5746.0, 5588.0, 5527.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,171.72,39953.63,39967.89,0.0,0.414539,0.931548,0.073137,0.646833,13426,276,5.940081357955933,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[42596.2, 42813.2, 43030.2, 43247.2, 43464.2, 43681.2, 43898.2]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,58.8,2656.43,2733.72,0.0,0.131325,0.295112,0.038463,0.34017,13426,232,2.5362329483032227,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5894.0, 5978.0, 6054.0, 5942.0, 5810.0, 5938.0, 6034.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,23.4,808.14,916.11,0.0,0.14416,0.323954,0.039325,0.347798,13426,227,2.403794765472412,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4579.0, 3853.0, 4267.0, 3505.0, 3742.0, 3937.0, 4147.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,173.89,43819.91,43834.57,0.0,0.156323,0.351287,0.041128,0.363746,13426,254,2.7802722454071045,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[46359.82, 46611.04, 46862.26, 47113.48, 47364.7, 47615.92, 47867.14]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,193.05,3238.14,3305.68,0.0,0.155783,0.350075,0.042186,0.373099,13426,241,2.6156067848205566,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[54.0, 48.0, 52.0, 65.0, 58.0, 62.0, 49.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
