Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,13.83,4.82,4.91,0.006888,0.013001,0.125964,0.008638,0.076397,37151,526,57.88486123085022,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[29.0, 30.7, 32.9, 35.8, 39.4, 42.6, 44.5, 46.2, 47.4, 48.0, 46.6, 44.3, 41.7, 39.5, 37.6, 36.1, 35.0, 34.1, 33.3, 32.6, 32.0, 31.5, 31.0, 30.6]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,6.48,2.12,2.55,0.0068,0.008763,0.084899,0.007662,0.067767,37151,491,39.2215793132782,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.4, 26.0, 27.3, 29.8, 33.1, 36.9, 40.2, 42.1, 43.3, 44.0, 43.1, 41.2, 38.9, 37.1, 35.6, 34.5, 33.7, 33.1, 32.6, 32.2, 31.9, 31.6, 31.3, 31.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,7.6,2.57,2.67,0.006803,0.013563,0.131405,0.008253,0.072992,37151,492,59.78056025505066,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.8, 26.2, 28.7, 31.9, 35.8, 39.9, 42.1, 43.5, 44.8, 45.2, 44.1, 41.6, 38.9, 36.7, 35.1, 34.0, 33.2, 32.8, 32.4, 31.9, 31.5, 31.1, 30.7, 30.3]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,10.58,3.78,4.03,0.006928,0.014286,0.138413,0.008492,0.075106,37151,542,62.80773591995239,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[26.3, 28.1, 30.7, 34.1, 38.2, 42.6, 45.9, 47.1, 47.8, 48.2, 46.1, 43.4, 40.5, 38.1, 36.0, 34.5, 33.4, 32.6, 31.9, 31.3, 30.8, 30.3, 29.9, 29.5]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,3.04,1.05,1.22,0.006805,0.011982,0.116092,0.014473,0.128005,37151,493,52.43315386772156,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.4, 25.8, 26.9, 29.1, 32.0, 35.6, 39.2, 41.7, 43.1, 44.0, 43.3, 41.0, 38.1, 35.7, 33.9, 32.6, 31.5, 30.7, 30.0, 29.4, 28.9, 28.4, 27.9, 27.5]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,8.38,2.83,3.28,0.008524,0.013244,0.128317,0.007965,0.070448,48545,497,57.50839829444885,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.2, 25.6, 26.1, 27.1, 28.7, 31.2, 33.9, 35.8, 37.4, 38.9, 39.8, 40.1, 39.3, 37.9, 36.2, 34.7, 33.4, 32.3, 31.5, 30.8, 30.1, 29.5, 28.9, 28.4]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,4.24,1.47,2.24,0.008519,0.013685,0.132595,0.008359,0.073926,48545,495,59.23504948616028,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.248, 25.095, 25.663, 27.106, 29.446, 32.212, 34.891, 36.944, 38.512, 39.342, 39.428, 38.234, 36.441, 34.406, 32.783, 31.602, 30.559, 29.854, 29.227, 28.606, 28.123, 27.781, 27.385, 26.981]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,3.11,1.1,1.5,0.008459,0.01121,0.108607,0.007803,0.069014,48545,471,47.49730610847473,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.7, 26.1, 27.0, 28.7, 31.3, 34.2, 36.9, 38.4, 39.6, 40.1, 39.0, 37.2, 35.1, 33.4, 31.9, 30.8, 30.1, 29.6, 29.2, 28.8, 28.5, 28.2, 27.9, 27.6]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,6.61,2.13,2.33,0.008774,0.008016,0.077663,0.004795,0.042405,48545,597,34.72358226776123,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[26.36, 26.73, 27.11, 29.03, 31.42, 34.47, 36.88, 38.92, 40.68, 41.65, 41.52, 40.05, 38.12, 36.21, 34.77, 33.83, 33.11, 32.59, 32.15, 31.77, 31.43, 31.12, 30.83, 30.56]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,5.44,1.84,2.22,0.008517,0.010255,0.099358,0.006194,0.054785,48545,494,44.64283967018128,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.6, 25.8, 26.5, 27.9, 30.2, 33.1, 35.4, 37.0, 38.2, 39.1, 39.5, 38.7, 37.1, 35.3, 33.8, 32.6, 31.7, 31.0, 30.4, 29.9, 29.5, 29.2, 28.9, 28.7]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
