Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,18.77,6.01,7.12,0.0,1.334113,2.998006,0.236356,2.090372,55475,250,55.62937259674072,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[37.88, 35.52, 34.05, 34.02, 32.92, 33.69, 35.57]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,22.86,7.56,9.06,0.0,0.220815,0.496213,0.036582,0.323538,55475,222,10.999438762664797,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[41.857, 37.814, 35.573, 35.467, 35.278, 34.759, 33.712]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,39.47,15.02,17.01,0.0,0.258623,0.581176,0.045769,0.404787,55475,257,12.50507879257202,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[44.48, 47.51, 46.89, 49.91, 52.75, 39.68, 37.56]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,23.41,7.66,8.68,0.0,0.255347,0.573815,0.04704,0.416025,55475,249,12.26499080657959,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[37.87, 38.53, 36.54, 35.69, 34.78, 32.81, 32.39]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,24.44,7.98,9.05,0.0,0.230262,0.517442,0.039863,0.352553,55475,226,11.116470575332642,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[38.499, 37.983, 36.379, 35.419, 34.59, 33.009, 29.452]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,26.45,9.0,10.26,0.0,1.64643,3.699844,0.251316,2.222682,62012,212,66.60349941253662,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[37.9, 39.7, 40.6, 41.4, 40.9, 39.5, 41.3]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,140.64,25.77,26.2,0.0,0.224082,0.503556,0.04211,0.372426,62012,201,10.675694465637209,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[3.7, 4.8, 5.5, 5.2, 6.2, 6.6, 5.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,32.51,11.63,12.14,0.0,0.28349,0.637055,0.046945,0.415191,62012,249,13.272365808486938,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[37.49, 40.51, 41.38, 43.99, 46.03, 45.85, 44.48]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,24.03,8.06,8.66,0.0,0.223458,0.502152,0.034567,0.305719,62012,202,10.8859543800354,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[37.5, 36.2, 38.5, 36.9, 40.1, 42.8, 42.7]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,45.23,17.67,18.02,0.0,0.239804,0.538885,0.041018,0.362768,62012,214,11.315402746200562,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[45.38, 47.29, 49.65, 46.33, 49.1, 51.72, 52.55]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,csv,14.95,4.7,5.2,0.0,1.027166,2.308239,0.143985,1.273428,45398,260,42.76252555847168,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[30.708, 31.707, 34.232, 36.629, 38.132, 39.156, 40.64]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,csv,18.62,5.95,7.28,0.0,0.21596,0.485303,0.041188,0.364273,45398,246,10.39919090270996,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[37.89, 35.54, 35.79, 34.93, 34.42, 35.16, 37.15]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,csv,23.6,7.76,8.96,0.0,0.211102,0.474387,0.040517,0.358335,45398,244,10.294142246246338,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417]","[38.7, 38.6, 37.5, 35.4, 34.5, 33.6, 32.2]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3287
- Median: 41.6495
- Standard Deviation: 6.747
- Minimum Value: 24.184
- Maximum Value: 58.558
- First Quartile (Q1): 36.7135
- Third Quartile (Q3): 46.079
- Trend Strength (STL): 0.941
- Seasonality Strength (STL): 0.8779

[INPUT]"
