Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,19.65,6.12,6.88,0.0,0.096596,0.21707,0.021146,0.187017,16495,269,6.445196151733398,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[32.607, 32.168, 31.289, 30.41, 29.531, 28.652, 28.433]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,21.18,6.87,8.16,0.0,0.048223,0.108367,0.016889,0.149369,16495,256,4.711209297180176,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[38.32, 37.661, 36.123, 35.244, 34.365, 34.585, 34.585]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,20.19,6.47,7.32,0.0,0.048653,0.109333,0.016598,0.146796,16495,256,4.657023668289185,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[36.123, 35.903, 35.464, 34.805, 34.585, 33.706, 33.486]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,28.43,9.79,11.18,0.0,0.0477,0.107191,0.014652,0.129581,16495,222,4.211454391479492,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[40.518, 41.396, 40.518, 41.396, 40.518, 41.396, 40.518]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,19.35,6.15,6.9,0.0,0.052597,0.118196,0.014596,0.129086,16495,257,4.632757902145386,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[35.872, 34.805, 33.926, 33.047, 32.827, 32.168, 32.607]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,156.43,27.39,27.92,0.0,0.095123,0.21376,0.015335,0.135628,16495,233,5.83411979675293,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[4.0, 3.0, 5.0, 3.0, 4.0, 3.0, 4.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,162.22,27.96,28.49,0.0,0.048563,0.10913,0.015497,0.137059,16495,225,4.15169620513916,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,162.22,27.96,28.49,0.0,0.050457,0.113385,0.01493,0.132043,16495,235,4.280908107757568,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,162.22,27.96,28.49,0.0,0.046689,0.104918,0.015515,0.137219,16495,225,4.198266983032227,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
ETTh2,2016-07-12 06:00:00,2016-09-20 05:00:00,7,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,155.84,27.33,27.84,0.0,0.053635,0.120527,0.016623,0.147019,16495,246,4.575644016265869,"[25.35650062561035, 25.136999130249023, 27.333999633789062, 29.5310001373291, 33.70600128173828, 37.00199890136719, 39.63850021362305]","[4.0, 3.5, 3.6, 3.8, 3.8, 3.8, 3.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 41.3191
- Median: 41.616
- Standard Deviation: 6.7386
- Minimum Value: 24.258
- Maximum Value: 58.438
- First Quartile (Q1): 36.562
- Third Quartile (Q3): 46.011
- Trend Strength (STL): 0.9425
- Seasonality Strength (STL): 0.8806

[INPUT]"
