Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,28.85,0.21,0.31,0.0,0.0,0.0,0.000167,0.001473,38926,6532,59.212504386901855,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.37, -1.2, -0.58, 0.12, 0.82, 1.23, 1.42, 1.49, 1.53, 1.61, 1.58, 1.66, 1.7, 1.75, 1.62, 0.99, 0.05, -0.63, -1.01, -1.13, -1.2, -1.31, -1.38, -1.42]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,12.48,0.1,0.11,0.0,0.0,0.0,0.00011,0.000977,38926,4740,38.62027287483215,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.34, -1.18, -0.66, 1.15, 1.38, 1.5, 1.6, 1.62, 1.63, 1.58, 1.62, 1.5, 1.4, 1.48, 1.55, 0.6, -0.1, -0.78, -1.0, -1.18, -1.33, -1.34, -1.33, -1.34]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,122.14,1.63,2.05,0.0,0.0,0.0,7.8e-05,0.000691,38926,3060,27.158273220062256,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408, -1.408]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,176.98,1.51,1.68,0.0,0.0,0.0,0.000114,0.001005,38926,4165,39.66871738433838,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.41, -1.4, -1.32, -1.2, -1.08, -0.96, -0.84, -0.72, -0.6, -0.49, -0.39, -0.3, -0.22, -0.14, -0.07, 0.01, 0.09, 0.16, 0.23, 0.29, 0.36, 0.43, 0.5, 0.57]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,162.63,1.31,1.46,0.0,0.0,0.0,0.000106,0.000938,38926,4044,36.989975452423096,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.376, -1.284, -1.118, -0.945, -0.785, -0.629, -0.477, -0.341, -0.226, -0.143, -0.06, 0.021, 0.112, 0.194, 0.265, 0.306, 0.327, 0.35, 0.362, 0.349, 0.325, 0.296, 0.283, 0.28]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,91.63,0.7,0.82,0.0,0.0,0.0,0.000125,0.001108,47673,4356,43.75079894065857,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.35, -1.28, -0.95, -0.45, 0.05, 0.9, 1.2, 1.05, 0.7, 0.4, 0.2, 0.25, 0.6, 1.0, 1.15, 0.95, 0.6, 0.3, 0.15, -0.05, -0.4, -0.75, -1.0, -1.25]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,101.99,1.13,1.59,0.0,0.0,0.0,0.000161,0.001425,47673,5188,56.392569065094,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.35, -1.25, -0.85, -0.5, -0.15, 0.2, 0.65, 1.15, 1.6, 1.85, 2.1, 1.85, 1.5, 1.25, 0.95, 0.45, 0.05, 0.6, 1.05, 1.45, 1.75, 1.95, 1.8, 1.6]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,159.75,1.2,1.25,0.0,0.0,0.0,7.7e-05,0.000684,47673,2459,26.791576862335205,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779, 0.2779]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,116.73,0.96,1.11,0.0,0.0,0.0,0.000198,0.001754,47673,6340,69.42352366447449,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.487, 0.68, 0.846, 0.973, 1.053, 1.08, 1.053, 0.973, 0.846, 0.68, 0.488, 0.28, 0.073, -0.2, -0.286, -0.28, -0.493, -0.52, -0.493, -0.28, -0.427, -0.22, 0.073, 0.28]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,120.57,1.0,1.21,0.0,0.0,0.0,0.000142,0.001259,47673,4548,49.60598707199097,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.4, -1.25, -1.0, -0.75, -0.5, -0.25, 0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.3, 1.35, 1.4, 1.25, 1.15, 0.95, 0.6, 0.25, 0.1, 0.15, 0.2, 0.25]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,csv,7.76,0.08,0.1,0.0,0.0,0.0,0.000178,0.001575,28849,5828,62.283835887908936,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.37, -1.18, -0.7, 0.95, 0.99, 1.46, 1.55, 1.6, 1.56, 1.6, 1.48, 1.39, 1.3, 1.5, 1.42, 0.4, -0.38, -0.85, -1.06, -1.08, -1.17, -1.33, -1.34, -1.32]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,csv,166.89,1.53,1.73,0.0,0.0,0.0,0.000134,0.001182,28849,4740,46.61267900466919,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.408, -1.33, -1.25, -1.18, -1.12, -1.05, -0.99, -0.92, -0.84, -0.77, -0.69, -0.6, -0.52, -0.44, -0.36, -0.28, -0.2, -0.12, -0.05, 0.02, 0.1, 0.18, 0.26, 0.34]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,csv,7.31,0.07,0.12,0.0,0.0,0.0,0.00018,0.001588,28849,6534,62.79574918746948,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.37, -1.18, -0.698, 0.807, 0.953, 1.452, 1.552, 1.597, 1.559, 1.607, 1.478, 1.363, 1.294, 1.504, 1.423, 0.368, -0.38, -0.811, -1.088, -1.093, -1.287, -1.374, -1.38, -1.362]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,csv,15.26,0.14,0.18,0.0,0.0,0.0,9.3e-05,0.000819,28849,3588,32.1753466129303,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.25, -1.05, -0.4, 1.0, 1.45, 1.55, 1.6, 1.65, 1.6, 1.6, 1.6, 1.7, 1.5, 1.4, 1.4, 0.8, -0.2, -0.7, -1.0, -1.1, -1.1, -1.25, -1.3, -1.28]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
