Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,137.37,1.63,1.97,0.0,0.223222,0.501622,0.041377,0.365942,16493,825,12.828190088272097,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.221, -1.06, -1.139, -1.314, -1.349, -1.357, -1.348, -1.15, 1.281, 1.259, 1.35, 1.343, 1.34, 0.221, 0.216, 1.37, 1.34, 1.341, 1.34, 1.34, 1.397, 1.465, 1.437, 1.414]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,83.57,0.8,1.14,0.0,0.180787,0.406263,0.037475,0.331436,16493,810,11.042635917663574,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.459, 0.876, 0.985, 1.097, 1.194, 1.281, 1.259, 1.35, 1.343, 1.34, 1.35, 1.343, 1.34, 1.37, 1.418, 1.416, 1.306, 1.341, 1.441, 0.462, -0.234, -0.75, -0.107, -1.0697383493547648]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,125.18,1.46,1.88,0.0,0.192933,0.433558,0.034815,0.307911,16493,878,11.62738823890686,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.2, -1.06, -1.139, -1.314, -1.349, -1.357, -1.348, -1.15, 1.281, 1.259, 1.343, 1.34, 1.35, 1.357, 1.348, 1.15, 0.221, 1.281, 1.259, 1.35, 1.343, 1.34, 1.35, 1.357]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,114.87,1.28,1.65,0.0,0.176175,0.3959,0.032266,0.285363,16493,822,10.951189517974854,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.031, -1.06, -1.139, -1.314, -1.349, -1.357, -1.348, -1.15, 0.221, 1.281, 1.259, 1.35, 1.343, 1.34, 1.37, 1.418, 1.416, 1.306, 1.341, 1.441, 0.462, -0.234, -0.75, -0.107]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,124.27,1.53,1.91,0.0,0.175781,0.395013,0.032095,0.28385,16493,819,10.941131353378296,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.031, -1.06, -1.139, -1.314, -1.349, -1.357, -1.348, -1.15, 0.221, 1.281, 1.259, 1.35, 1.343, 1.34, 1.341, 1.37, 1.418, 1.416, 1.306, 1.341, 1.34, 1.35, 1.35, 1.35]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,137.7,1.74,2.09,0.0,0.229468,0.515658,0.042552,0.376334,16493,817,12.481542587280272,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.2779, 0.9595, -1.426, -1.354, -1.361, -1.36, -1.361, -1.36, -1.361, -1.361, -1.361, -1.361, -1.361, -1.362, -1.362, -1.362, -1.361, -1.36, -1.361, -1.361, -1.361, -1.362, -1.363, -1.364]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,118.87,1.47,1.87,0.0,0.167243,0.375826,0.036289,0.320947,16493,761,10.361002922058104,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[-1.097, -1.123, -1.354, -1.361, -1.365, -1.353, -1.352, -1.189, 1.409, 1.244, 1.264, 1.351, 1.353, 1.352, 1.188, 1.205, 1.245, 1.256, 1.295, 1.307, 1.313, 1.318, 1.323, 1.325]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,140.18,1.22,1.32,0.0,0.173987,0.390982,0.03592,0.317686,16493,780,10.437941551208496,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.45, 0.43, 0.44, 0.46, 0.48, 0.47, 0.47, 0.49, 0.51, 0.52, 0.53, 0.54, 0.55, 0.55, 0.56, 0.58, 0.59, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,126.16,1.1,1.25,0.0,0.212142,0.476724,0.031928,0.282372,16493,942,12.592834949493408,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.456, 0.771, -0.356, -0.293, 0.028, -0.258, 0.779, 0.566, 0.959, 0.959, 0.959, 0.959, 0.959, 0.959, 0.959, 0.959, 0.959, 0.959, 0.959, -0.356, 0.771, 0.456, -0.293, 0.028]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
Electricity,2013-06-28 07:00:01,2013-09-06 06:00:01,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,131.48,1.18,1.3,0.0,0.231898,0.521119,0.039238,0.347023,16493,1047,13.528918504714966,"[-1.376244106473734, -1.2267854542201622, -0.8569466873379161, 1.0993433150894087, 1.3325749698800144, 1.445382933523634, 1.4963131112023988, 1.5367716635640345, 1.5681865395154222, 1.478225758381903, 1.4234877169514546, 1.333050952848975, 1.3178194978422415, 1.4539506269649216, 1.4434790016477923, 0.3696614236730854, -0.288623022399175, -0.6665534997537482, -1.0930342399422843, -1.1158814224523843, -1.2520125515750644, -1.3890956466356652, -1.4019471867975966, -1.3881436806977443]","[0.5817886106946517, 0.594366789775592, 0.6481849182524629, 0.6481849182524629, 0.6481849182524629, 0.6481849182524629, 0.6388070410895673, 0.6388070410895673, 0.6388070410895673, 0.6292022961702544, 0.6292022961702544, 0.6292022961702544, 0.6292022961702544, 0.6183749031236063, 0.6183749031236063, 0.6183749031236063, 0.6183749031236063, 0.5990529669258695, 0.5990529669258695, 0.5817886106946517, 0.5817886106946517, 0.5817886106946517, 0.594366789775592, 0.6481849182524629]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 0.2779
- Median: 0.9595
- Standard Deviation: 1.2297
- Minimum Value: -1.426
- Maximum Value: 2.151
- First Quartile (Q1): -1.1172
- Third Quartile (Q3): 1.409
- Trend Strength (STL): 0.5663
- Seasonality Strength (STL): 0.9954

[INPUT]"
