Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,64.66,282.08,389.45,0.05097,0.037431,0.362662,0.017276,0.152794,34974,456,37.92575120925903,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 85.0, 660.0, 1450.0, 1150.0, 920.0, 680.0, 590.0, 870.0, 950.0, 810.0, 840.0, 960.0, 1250.0, 1780.0, 1650.0, 1010.0, 700.0, 560.0, 490.0, 150.0, 40.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,22.54,108.25,175.39,0.050992,0.070924,0.687166,0.029337,0.259465,34974,461,72.33441162109375,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 89.0, 668.0, 1450.0, 1155.0, 925.0, 680.0, 590.0, 855.0, 940.0, 870.0, 830.0, 960.0, 1250.0, 1780.0, 1620.0, 1010.0, 680.0, 560.0, 470.0, 145.0, 30.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,22.78,101.54,168.84,0.051018,0.054272,0.525828,0.030454,0.269341,34974,467,53.84263157844544,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 85.0, 651.0, 1438.0, 1175.0, 912.0, 685.0, 598.0, 862.0, 941.0, 802.0, 812.0, 935.0, 1215.0, 1732.0, 1628.0, 1012.0, 688.0, 531.0, 462.0, 140.0, 38.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,23.81,111.25,178.69,0.051093,0.03852,0.373208,0.01873,0.165655,34974,484,34.39006423950195,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 88.0, 672.0, 1458.0, 1135.0, 915.0, 698.0, 584.0, 876.0, 935.0, 812.0, 841.0, 968.0, 1245.0, 1785.0, 1620.0, 1025.0, 685.0, 558.0, 475.0, 148.0, 38.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,64.83,283.38,390.14,0.051001,0.070905,0.686981,0.029559,0.261424,34974,463,74.49002838134766,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 82.0, 645.0, 1420.0, 1125.0, 905.0, 675.0, 589.0, 860.0, 935.0, 810.0, 785.0, 920.0, 1185.0, 1780.0, 1650.0, 1025.0, 685.0, 530.0, 465.0, 135.0, 38.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,38.08,125.33,182.85,0.058382,0.10482,1.01558,0.046038,0.407171,39935,562,112.501371383667,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 84.0, 621.0, 1385.0, 1168.0, 890.0, 648.0, 580.0, 856.0, 912.0, 860.0, 735.0, 925.0, 1215.0, 1665.0, 1578.0, 1018.0, 693.0, 538.0, 428.0, 468.0, 140.0, 36.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,23.78,112.96,181.32,0.057959,0.422988,4.098229,0.167749,1.483602,39935,466,425.772914648056,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 85.0, 648.0, 1440.0, 1150.0, 940.0, 680.0, 590.0, 860.0, 950.0, 850.0, 780.0, 960.0, 1250.0, 1780.0, 1650.0, 1050.0, 690.0, 540.0, 470.0, 150.0, 35.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,64.28,278.42,391.66,0.057933,0.035382,0.342804,0.014858,0.13141,39935,460,36.17007398605347,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 87.0, 645.0, 1350.0, 1140.0, 935.0, 680.0, 610.0, 890.0, 980.0, 830.0, 870.0, 960.0, 1250.0, 1810.0, 1650.0, 1050.0, 700.0, 550.0, 460.0, 150.0, 40.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,23.05,104.54,156.39,0.057933,0.060639,0.587521,0.03221,0.284872,39935,460,59.27549481391907,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 92.0, 641.0, 1425.0, 1110.0, 930.0, 670.0, 578.0, 860.0, 940.0, 710.0, 750.0, 890.0, 1150.0, 1680.0, 1540.0, 990.0, 680.0, 510.0, 440.0, 140.0, 38.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,38.72,137.12,195.99,0.057942,0.051884,0.502694,0.020909,0.184924,39935,462,49.58873105049133,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 97.0, 672.0, 1472.0, 1150.0, 945.0, 715.0, 628.0, 895.0, 978.0, 935.0, 880.0, 1015.0, 1310.0, 1765.0, 1580.0, 1040.0, 680.0, 545.0, 460.0, 465.0, 148.0, 35.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
