Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,81.63,409.07,484.91,0.0,0.099136,0.960504,0.089653,0.792905,35816,469,7.673595905303955,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[597.7958, 599.5, 596.3, 600.2, 598.1, 602.7, 603.3, 601.9, 595.0, 600.4, 594.6, 607.5, 605.9, 600.8, 590.7, 596.3, 593.2, 599.1, 597.8, 602.6, 603.4, 595.0, 598.2, 601.7]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,27.53,134.83,183.73,0.0,0.025127,0.243452,0.030078,0.266013,35816,449,2.581150531768799,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 73.0, 565.0, 1181.0, 1399.0, 792.0, 509.0, 552.0, 605.0, 772.0, 740.0, 856.0, 970.0, 1079.0, 1575.0, 1710.0, 937.0, 534.0, 440.0, 439.0, 136.0, 43.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,175.0,649.04,808.35,0.0,0.023322,0.225964,0.032388,0.286443,35816,444,2.666944026947021,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,81.99,531.46,630.38,0.0,0.027733,0.268699,0.027563,0.243775,35816,484,2.8969528675079346,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[1411.0, 1156.0, 1517.0, 1469.0, 1388.0, 1364.0, 1292.0, 1246.0, 1200.0, 1160.0, 1145.0, 1081.0, 1023.0, 1015.0, 998.0, 993.0, 969.0, 937.0, 927.0, 896.0, 851.0, 838.0, 828.0, 814.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,192.15,643.04,802.36,0.0,0.062276,0.603381,0.052705,0.466133,35816,606,7.580687761306763,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[7.0, 18.0, 19.0, 5.0, 9.0, 10.0, 6.0, 4.0, 10.0, 11.0, 13.0, 12.0, 0.0, 4.0, 3.7, 7.5, 8.0, 5.1, 2.0, 4.9, 0.3, 1.9, 0.8, 2.6]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,200.0,649.04,808.35,0.0,0.132625,1.284973,0.089124,0.78823,41683,561,8.966636180877686,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.00012246, 0.00012986, 0.0001255, 0.0001188, 0.0001274, 0.0001167, 0.0001246, 0.0001332, 0.0001233, 0.0001209, 0.0001192, 0.0001198, 0.0001228, 0.0001145, 0.0001201, 0.0001194, 0.0001177, 0.0001186, 0.0001157, 0.0001166, 0.0001129, 0.0001232, 0.000124, 0.0001218]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,176.71,636.88,794.59,0.0,0.02601,0.252005,0.033757,0.298554,41683,442,2.647780656814575,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 11.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,187.52,647.35,806.47,0.0,0.039426,0.381991,0.039937,0.353209,41683,560,3.3234596252441406,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[4.0, 5.0, 4.2, 4.6, 2.9, 2.8, 0.1, -1.5, -1.4, -1.4, -0.7, 0.4, 1.2, 3.2, 3.8, 3.8, 4.4, 5.1, 6.4, 8.1, 10.4, 11.1, 12.9, 15.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,191.46,645.5,804.41,0.0,0.028026,0.271534,0.034352,0.303815,41683,442,2.676574468612671,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 7.0, 4.0, 8.0, 2.0, 6.0, 9.0, 1.0, 3.0, 9.0, 2.0, 5.0, 7.0, 3.0, 4.0, 6.0, 8.0, 0.0, 9.0, 1.0, 2.0, 6.0, 4.0, 8.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,192.76,644.86,803.48,0.0,0.0252,0.244158,0.034099,0.301581,41683,443,2.681586503982544,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[3.2, 1.4, 5.6, 7.3, 9.1, 8.5, 4.7, 6.1, 3.2, 2.1, 5.0, 4.3, 7.8, 6.9, 5.2, 4.0, 9.7, 8.5, 5.8, 3.2, 2.9, 4.1, 5.5, 6.4]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
