Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,26.47,129.88,181.18,0.006303,0.008082,0.078308,0.005346,0.047277,34070,477,35.188119411468506,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 82.0, 578.0, 1188.0, 1336.0, 784.0, 544.0, 557.0, 629.0, 754.0, 739.0, 866.0, 978.0, 1087.0, 1575.0, 1710.0, 937.0, 534.0, 440.0, 439.0, 136.0, 43.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,43.06,183.04,304.48,0.006253,0.006298,0.061023,0.007417,0.065595,34070,457,27.45523762702942,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 79.0, 675.0, 1445.0, 1229.0, 923.0, 604.0, 624.0, 758.0, 908.0, 890.0, 834.0, 830.0, 1014.0, 1200.0, 1800.0, 1618.0, 1025.0, 698.0, 489.0, 436.0, 125.0, 22.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,56.24,248.62,401.51,0.006258,0.007716,0.074759,0.006585,0.058236,34070,459,33.614561557769775,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 96.0, 678.0, 1414.0, 1219.0, 918.0, 704.0, 624.0, 696.0, 904.0, 1002.0, 825.0, 814.0, 993.0, 1171.0, 1279.0, 1729.0, 1620.0, 1024.0, 671.0, 478.0, 428.0, 150.0, 39.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,43.11,172.25,287.12,0.006228,0.00745,0.072177,0.004473,0.039557,34070,447,31.54624938964844,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 63.0, 700.0, 1470.0, 1200.0, 880.0, 630.0, 580.0, 820.0, 930.0, 850.0, 830.0, 900.0, 990.0, 1200.0, 1700.0, 1600.0, 1000.0, 650.0, 450.0, 410.0, 130.0, 30.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,44.6,189.75,299.41,0.006501,0.007978,0.077301,0.004863,0.043011,34070,556,34.503302335739136,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 77.0, 613.0, 1431.0, 1268.0, 987.0, 668.0, 599.0, 654.0, 813.0, 833.0, 791.0, 877.0, 1011.0, 1249.0, 1747.0, 1610.0, 1023.0, 658.0, 492.0, 456.0, 152.0, 42.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,45.15,200.08,318.87,0.007011,0.006955,0.067386,0.008398,0.074271,39937,408,30.561734437942505,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 87.0, 708.0, 1498.0, 1269.0, 972.0, 760.0, 673.0, 612.0, 926.0, 1033.0, 860.0, 882.0, 1011.0, 1269.0, 1850.0, 1605.0, 1098.0, 688.0, 518.0, 463.0, 150.0, 23.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,59.42,275.75,425.85,0.007183,0.007622,0.073853,0.005931,0.052458,39937,477,33.01687431335449,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 80.0, 692.0, 1210.0, 1200.0, 950.0, 690.0, 605.0, 735.0, 910.0, 900.0, 920.0, 730.0, 820.0, 990.0, 1200.0, 1750.0, 1650.0, 1000.0, 700.0, 560.0, 420.0, 135.0, 30.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,57.68,260.83,407.37,0.007118,0.009115,0.088314,0.005356,0.047372,39937,451,39.448811531066895,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 87.0, 652.0, 1411.0, 1101.0, 912.0, 677.0, 588.0, 719.0, 879.0, 967.0, 852.0, 784.0, 956.0, 1149.0, 1237.0, 1695.0, 1599.0, 1043.0, 713.0, 552.0, 467.0, 137.0, 38.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,23.48,110.25,173.36,0.007003,0.007873,0.07628,0.004937,0.043661,39937,405,33.97579908370972,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 83.0, 667.0, 1440.0, 1095.0, 941.0, 672.0, 590.0, 829.0, 929.0, 672.0, 772.0, 896.0, 1042.0, 1622.0, 1699.0, 979.0, 693.0, 532.0, 418.0, 107.0, 45.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,57.36,260.46,419.62,0.007183,0.007919,0.076726,0.00469,0.041481,39937,477,33.16347289085388,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 88.0, 658.0, 1481.0, 1205.0, 928.0, 695.0, 611.0, 723.0, 913.0, 938.0, 862.0, 801.0, 916.0, 1058.0, 1299.0, 1776.0, 1650.0, 1011.0, 696.0, 541.0, 462.0, 147.0, 35.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
