Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,35.68,266.12,349.48,0.0,0.541041,5.242019,0.501661,4.436768,2156,498,48.01639485359192,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 95.0, 721.0, 1442.0, 1154.0, 987.0, 758.0, 619.0, 854.0, 944.0, 831.0, 823.0, 1013.0, 1251.0, 1685.0, 1538.0, 1087.0, 696.0, 585.0, 478.0, 201.0, 34.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,33.32,250.17,327.59,0.0,0.403686,3.911217,0.31711,2.80457,2156,498,18.215935468673703,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 95.0, 701.0, 1411.0, 1145.0, 964.0, 734.0, 592.0, 864.0, 1014.0, 853.0, 823.0, 1003.0, 1236.0, 1639.0, 1397.0, 1082.0, 695.0, 509.0, 446.0, 178.0, 32.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,33.72,257.92,337.6,0.0,0.417621,4.046229,0.322,2.847819,2156,499,18.55665349960327,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 91.0, 701.0, 1421.0, 1165.0, 987.0, 744.0, 599.0, 863.0, 1043.0, 853.0, 819.0, 1027.0, 1234.0, 1642.0, 1456.0, 1088.0, 699.0, 512.0, 446.0, 178.0, 31.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,35.92,276.62,364.27,0.0,0.426974,4.13685,0.327688,2.898125,2156,498,18.14698481559753,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 91.0, 720.0, 1419.0, 1155.0, 969.0, 741.0, 591.0, 901.0, 1087.0, 893.0, 823.0, 1042.0, 1253.0, 1734.0, 1606.0, 1091.0, 690.0, 567.0, 461.0, 179.0, 35.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,34.29,261.08,348.09,0.0,0.427322,4.140226,0.321835,2.846358,2156,497,18.50441026687622,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 94.0, 725.0, 1421.0, 1165.0, 960.0, 759.0, 625.0, 844.0, 947.0, 794.0, 848.0, 1042.0, 1273.0, 1649.0, 1534.0, 1147.0, 699.0, 503.0, 433.0, 179.0, 34.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,74.29,671.46,855.23,0.0,0.482938,4.679071,0.319949,2.829679,2156,507,19.907231330871586,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 923.0, 718.0, 1479.0, 1145.0, 964.0, 613.0, 857.0, 1381.0, 1984.0, 1623.0, 1027.0, 1692.0, 1826.0, 1178.0, 1543.0, 694.0, 678.0, 504.0, 1390.0, 1921.0, 1779.0, 1605.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,63.96,390.42,496.32,0.0,0.441672,4.27926,0.346925,3.068263,2156,499,18.4493374824524,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 918.0, 721.0, 149.0, 1046.0, 966.0, 648.0, 870.0, 1081.0, 699.0, 901.0, 789.0, 1102.0, 1294.0, 1165.0, 1003.0, 734.0, 616.0, 559.0, 1149.0, 1050.0, 1247.0, 694.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,85.53,663.88,762.7,0.0,0.446347,4.324549,0.303608,2.685156,2156,505,18.4886531829834,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 924.0, 719.0, 1483.0, 1042.0, 963.0, 673.0, 857.0, 1194.0, 1691.0, 1439.0, 1037.0, 1545.0, 1297.0, 1778.0, 1646.0, 1428.0, 697.0, 832.0, 1180.0, 1680.0, 1463.0, 1040.0, 734.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,56.77,458.92,636.8,0.0,0.441552,4.278093,0.350017,3.095602,2156,500,18.64882755279541,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 938.0, 719.0, 1465.0, 892.0, 654.0, 509.0, 875.0, 1309.0, 1821.0, 1042.0, 619.0, 1414.0, 979.0, 1653.0, 1156.0, 690.0, 548.0, 923.0, 1357.0, 1810.0, 1048.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,75.59,543.54,666.37,0.0,0.450822,4.367906,0.353458,3.126034,2156,506,18.6160888671875,"[0, 69, 392, 768, 852, 652, 487, 509, 681, 769, 644, 620, 595, 834, 871, 853, 547, 361, 391, 350, 137, 27, 0, 0]","[0.0, 934.0, 721.0, 1491.0, 1176.0, 968.0, 646.0, 857.0, 1305.0, 1814.0, 1679.0, 1362.0, 1023.0, 1188.0, 1567.0, 1846.0, 1986.0, 1508.0, 1050.0, 691.0, 428.0, 173.0, 41.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 604.3948
- Median: 588.5
- Standard Deviation: 470.0586
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 171.75
- Third Quartile (Q3): 879.25
- Trend Strength (STL): 0.7221
- Seasonality Strength (STL): 0.9409

[INPUT]"
