Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,91.88,454.0,580.1,0.0,1.674412,3.762724,0.287315,2.541056,50326,787,71.74169301986694,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[579.0, 456.0, 235.0, 219.0, 185.0, 200.0, 430.0, 586.0, 749.0, 804.0, 1011.0, 1248.0, 1026.0, 1123.0, 1326.0, 875.0, 912.0, 1357.0, 1598.0, 671.0, 480.0, 382.0, 340.0, 477.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,99.27,535.75,644.76,0.0,0.67277,1.511842,0.102298,0.904739,50326,675,30.76518821716309,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[657.0, 945.0, 883.0, 972.0, 824.0, 630.0, 640.0, 935.0, 1107.0, 1019.0, 906.0, 1113.0, 920.0, 102.0, 109.0, 96.0, 105.0, 893.0, 969.0, 1048.0, 787.0, 601.0, 558.0, 802.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,123.31,685.96,778.42,0.0,0.668578,1.502424,0.102116,0.903127,50326,667,30.28697371482849,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[543.0, 612.0, 97.0, 0.0, 0.0, 0.0, 40.0, 690.0, 1505.0, 1050.0, 884.0, 1270.0, 448.0, 195.0, 353.0, 853.0, 1380.0, 1449.0, 817.0, 968.0, 735.0, 670.0, 595.0, 1252.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,144.17,591.38,747.32,0.0,0.779019,1.750605,0.112432,0.994369,50326,772,34.8998908996582,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[75.0, 69.0, 53.0, 38.0, 57.0, 96.0, 101.0, 88.0, 80.0, 63.0, 67.0, 52.0, 43.0, 74.0, 107.0, 125.0, 101.0, 129.0, 201.0, 134.0, 90.0, 56.0, 87.0, 102.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,140.34,609.33,731.24,0.0,0.656599,1.475503,0.11011,0.973829,50326,655,29.656521320343018,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[677.0, 519.0, 334.0, 165.0, 35.0, 0.0, 0.0, 0.0, 83.0, 747.0, 1253.0, 55.0, 0.0, 0.0, 179.0, 90.0, 746.0, 348.0, 389.0, 225.0, 198.0, 264.0, 363.0, 283.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,193.0,645.12,803.51,0.0,1.695237,3.809521,0.261096,2.309175,53401,615,69.36636853218079,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[6.0, 9.0, 3.0, 7.0, 5.0, 4.0, 8.0, 9.0, 2.0, 7.0, 4.0, 9.0, 9.0, 8.0, 7.0, 6.0, 1.0, 6.0, 4.0, 1.0, 0.0, 4.0, 7.0, 6.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,190.68,643.69,801.74,0.0,0.762897,1.714376,0.126968,1.122924,53401,729,34.20101284980774,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[7.0, 5.0, 10.0, 7.0, 4.0, 9.0, 11.0, 5.0, 8.0, 12.0, 6.0, 5.0, 3.0, 12.0, 10.0, 14.0, 9.0, 7.0, 5.0, 3.0, 7.0, 4.0, 11.0, 9.5]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,189.59,645.46,804.02,0.0,0.653369,1.468246,0.102884,0.909919,53401,626,29.533084630966187,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[9.0, 6.0, 5.0, 4.0, 6.0, 4.0, 4.0, 7.0, 6.0, 5.0, 5.0, 10.0, 9.0, 8.0, 7.0, 3.0, 2.0, 0.0, 0.0, 0.0, 9.0, 8.0, 7.0, 6.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,192.1,645.75,805.13,0.0,0.643244,1.445492,0.088289,0.780838,53401,613,28.955315113067627,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[7.0, 4.0, 9.0, 5.0, 6.0, 4.0, 7.0, 6.0, 9.0, 4.0, 8.0, 5.0, 1.0, 2.0, 0.0, 0.0, 0.0, 3.0, 4.0, 6.0, 8.0, 3.0, 1.0, 7.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,190.53,644.12,802.74,0.0,0.645107,1.44968,0.092505,0.818131,53401,614,28.83302640914917,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 7.0, 9.0, 4.0, 2.0, 8.0, 5.0, 10.0, 10.0, 13.0, 12.0, 11.0, 8.0, 10.0, 5.0, 6.0, 3.0, 2.0, 0.0, 1.0, 3.0, 7.0, 9.0, 4.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
