Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,76.96,344.92,457.16,0.0,2.833949,6.368425,0.4816,4.25935,50326,656,27.30852031707764,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[749.0, 1129.0, 1344.0, 792.0, 669.0, 780.0, 1217.0, 878.0, 801.0, 1133.0, 1050.0, 1204.0, 1678.0, 1536.0, 1588.0, 994.0, 597.0, 380.0, 192.0, 31.0, 0.0, 0.0, 96.0, 713.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,48.33,241.25,349.04,0.0,1.203951,2.705507,0.220621,1.95121,50326,668,12.659467220306396,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 94.0, 756.0, 1682.0, 1076.0, 934.0, 742.0, 610.0, 966.0, 1158.0, 1026.0, 922.0, 907.0, 937.0, 1379.0, 1724.0, 1707.0, 1014.0, 789.0, 576.0, 545.0, 421.0, 40.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,80.57,428.71,576.94,0.0,1.219957,2.741475,0.220284,1.948226,50326,659,12.541653394699097,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[584.0, 69.0, 1386.0, 634.0, 83.0, 811.0, 697.0, 675.0, 1269.0, 937.0, 69.0, 646.0, 653.0, 1362.0, 1236.0, 85.0, 666.0, 474.0, 406.0, 104.0, 743.0, 1158.0, 719.0, 604.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,108.78,585.58,747.65,0.0,1.407003,3.161804,0.256515,2.268662,50326,756,14.292709350585938,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[72.0, 30.0, 0.0, 0.0, 0.0, 74.0, 643.0, 1397.0, 1293.0, 895.0, 599.0, 579.0, 660.0, 766.0, 949.0, 903.0, 882.0, 1153.0, 1758.0, 1692.0, 944.0, 590.0, 405.0, 523.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,152.64,598.17,748.33,0.0,1.398446,3.142575,0.231611,2.048402,50326,742,14.040941953659058,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[28.0, 69.0, 80.0, 87.0, 111.0, 83.0, 47.0, 36.0, 70.0, 82.0, 90.0, 93.0, 92.0, 69.0, 18.0, 90.0, 97.0, 92.0, 105.0, 25.0, 42.0, 70.0, 97.0, 94.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,194.96,644.38,803.0,0.0,3.400202,7.640903,0.445986,3.944369,53401,702,33.85047936439514,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[6.0, 5.0, 7.0, 9.0, 3.0, 8.0, 7.0, 4.0, 8.0, 7.0, 7.0, 8.0, 7.0, 2.0, 9.0, 9.0, 1.0, 9.0, 8.0, 8.0, 2.0, 0.0, 6.0, 4.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,132.21,554.21,689.61,0.0,1.289681,2.898159,0.233692,2.066807,53401,654,12.731737852096558,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[37.0, 98.0, 158.0, 167.0, 212.0, 192.0, 134.0, 143.0, 163.0, 142.0, 135.0, 141.0, 110.0, 167.0, 133.0, 148.0, 122.0, 151.0, 132.0, 149.0, 121.0, 153.0, 148.0, 142.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,75.76,388.71,474.26,0.0,1.389158,3.121703,0.21301,1.88389,53401,710,13.968243598937988,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[603.0, 453.0, 574.0, 599.0, 599.0, 592.0, 615.0, 823.0, 929.0, 787.0, 889.0, 807.0, 873.0, 940.0, 954.0, 985.0, 916.0, 986.0, 753.0, 782.0, 720.0, 758.0, 733.0, 718.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,157.17,611.46,764.88,0.0,1.354102,3.042927,0.232215,2.053742,53401,682,13.309070110321043,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[69.0, 74.0, 55.0, 60.0, 65.0, 50.0, 55.0, 60.0, 55.0, 55.0, 50.0, 60.0, 55.0, 45.0, 50.0, 55.0, 60.0, 55.0, 45.0, 50.0, 50.0, 55.0, 50.0, 60.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,111.89,3958333334425.2495,19391793797033.49,0.0,1.410343,3.169309,0.228779,2.023358,53401,699,13.764806747436523,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[34.0, 51.0, 97.0, 226.0, 688.0, 955.0, 1229.0, 1585.0, 1600.0, 1834.0, 1687.0, 2034.0, 2132.0, 2187.0, 2208.0, 2413.0, 2371.0, 2659.0, 2600.0, 2612.0, 2618.0, 2894.0, 65.0, 95000000000000.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
