Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,171.74,679.54,816.68,0.0,0.040434,0.391751,0.030578,0.270439,16491,621,9.331367015838625,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[973.0, 701.0, 556.0, 170.0, 26.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,103.93,443.83,604.96,0.0,0.037697,0.36524,0.033937,0.300146,16491,740,10.43739628791809,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[656.0, 719.0, 842.0, 884.0, 948.0, 877.0, 1157.0, 1502.0, 1762.0, 968.0, 773.0, 701.0, 556.0, 170.0, 26.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,114.23,614.88,770.51,0.0,0.041179,0.398969,0.036643,0.324077,16491,780,11.051009893417358,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[946.0, 1245.0, 752.0, 878.0, 862.0, 845.0, 1157.0, 1502.0, 1762.0, 968.0, 773.0, 701.0, 556.0, 170.0, 26.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 718.0, 1562.0, 1039.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,107.34,543.24,674.06,0.0,0.03595,0.348314,0.025031,0.221374,16491,678,10.015363216400146,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[597.7958, 588.0, 955.0, 983.0, 948.0, 842.0, 877.0, 1157.0, 1502.0, 1762.0, 968.0, 773.0, 701.0, 556.0, 170.0, 26.0, 0.0, 0.0, 0.0, 0.0, 80.0, 718.0, 1562.0, 1039.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,numeric,zero_shot,0,,plain,109.32,402.5,533.88,0.0,0.035747,0.346349,0.028717,0.253974,16491,696,9.895355939865112,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[154.0, 79.0, 955.0, 983.0, 948.0, 842.0, 877.0, 1157.0, 1502.0, 1762.0, 968.0, 773.0, 701.0, 556.0, 170.0, 26.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 718.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,79.53,402.46,479.82,0.0,0.058622,0.567972,0.039199,0.346682,16491,925,13.873339414596558,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[597.7958, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264, 637.9264]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,83.68,417.03,488.84,0.0,0.037854,0.366761,0.03108,0.27488,16491,729,10.48384690284729,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[597.7958, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0, 574.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,180.78,646.08,804.81,0.0,0.03858,0.373792,0.03274,0.28956,16491,735,10.377832651138306,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[9.0, 7.0, 5.0, 4.0, 6.0, 7.0, 8.0, 6.0, 8.0, 7.0, 5.0, 3.0, 3.0, 4.0, 4.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,191.35,645.83,804.76,0.0,0.037139,0.359828,0.033309,0.294588,16491,708,10.007435083389282,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[8.0, 5.0, 3.0, 4.0, 6.0, 4.0, 1.0, 1.0, 6.0, 4.0, 9.0, 6.0, 8.0, 7.0, 6.0, 1.0, 2.0, 0.0, 0.0, 0.0, 8.0, 6.0, 1.0, 1.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen3-0.6b,0.7,textual,zero_shot,0,,plain,187.07,646.62,805.74,0.0,0.037142,0.359863,0.032438,0.286886,16491,716,10.244159936904907,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 6.0, 4.0, 7.0, 3.0, 5.0, 4.0, 1.0, 9.0, 6.0, 5.0, 3.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 8.0, 6.0, 1.0, 1.0, 0.0, 9.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
