Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,5.51,152.71,199.96,0.001849,0.0,0.0,9.1e-05,0.000802,9026,3494,32.148025035858154,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1500.0, 4550.0, 4800.0, 4700.0, 4200.0, 3800.0, 1600.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,7.42,231.57,274.19,0.001331,0.0,0.0,5.7e-05,0.000508,9026,2200,19.982440948486328,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1600.0, 4600.0, 5200.0, 5100.0, 4400.0, 4200.0, 1700.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,35.9,1129.71,1458.4,0.001306,0.0,0.0,6.6e-05,0.000585,9026,2136,23.05796885490417,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[3925.0, 3980.0, 4050.0, 4100.0, 3990.0, 4010.0, 4080.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,23.09,922.43,1003.98,0.001966,0.0,0.0,0.000116,0.001027,9026,3786,40.77579736709595,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[2100.0, 5200.0, 5900.0, 5900.0, 6100.0, 5200.0, 1700.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,8.93,293.86,310.59,0.001556,0.0,0.0,7.6e-05,0.000675,9026,2762,26.638898372650143,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1800.0, 4950.0, 5100.0, 5000.0, 4200.0, 3500.0, 1500.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,5.58,200.29,319.56,0.002669,0.0,0.0,0.00013,0.001151,11210,5272,45.69239783287048,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1500.0, 4568.0, 4811.0, 4787.0, 3936.0, 3421.0, 1384.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,38.42,1237.57,1515.88,0.001845,0.0,0.0,8.3e-05,0.000731,11210,3211,28.87125062942505,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[3500.0, 3650.0, 3800.0, 3950.0, 4100.0, 4250.0, 4400.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,34.95,1101.86,1520.53,0.001947,0.0,0.0,0.000107,0.000947,11210,3466,37.51753187179565,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[4200.0, 4100.0, 4200.0, 4300.0, 4150.0, 4050.0, 4200.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,5.02,191.71,318.56,0.002049,0.0,0.0,9.5e-05,0.000842,11210,3722,33.31370139122009,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1574.0, 4568.0, 4811.0, 4787.0, 3936.0, 3421.0, 1384.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,11.05,385.57,507.36,0.002388,0.0,0.0,0.000125,0.001108,11210,4568,43.96515989303589,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1600.0, 4800.0, 4700.0, 4200.0, 3600.0, 3400.0, 1600.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
