Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,14.686000000000002,451.0559999999999,570.488,35.43118214607239,0.0017461999999999998,0.0,0.0,0.0001014,0.0008973999999999999,6958.0,3495.6,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1600.0, 4700.0, 5200.0, 4800.0, 4500.0, 4200.0, 1700.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",5.712603259460611,188.55821651680947,255.6388867993287
cot,numeric,plain,13.982,465.74399999999997,589.266,30.86597595214844,0.0017148,0.0,0.0,8.88e-05,0.0007849999999999999,9139.0,3144.4,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[3600.0, 4200.0, 4050.0, 3900.0, 3600.0, 4100.0, 3950.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",5.7593023883105845,179.32584441736222,216.72446741427234
cot,textual,csv,31.918,986.2279999999998,1285.5620000000001,34.42881593704224,0.0020951999999999998,0.0,0.0,9.859999999999998e-05,0.0008737999999999999,9142.0,4094.6,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[3500.0, 3600.0, 3700.0, 3850.0, 4000.0, 4150.0, 4300.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",13.483274973091664,389.76968249724086,446.1712546814283
cot,textual,plain,27.05,877.7719999999999,1086.504,32.67086315155029,0.0021198000000000002,0.0,0.0,9.340000000000001e-05,0.000828,11323.0,3884.4,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1788.0, 2192.0, 2596.0, 3000.0, 3404.0, 3808.0, 4212.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",8.458557796693242,275.2591849584678,328.25443894332943
cot_few,numeric,csv,15.213999999999999,461.25999999999993,618.306,31.153620529174805,0.0017770000000000002,0.0,0.0,8.98e-05,0.0007942000000000001,7775.0,3470.2,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[2700.0, 3600.0, 4200.0, 4100.0, 3500.0, 3000.0, 3200.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1577.0
2012-07-09 00:00:00,4539.0
2012-07-10 00:00:00,4857.0
2012-07-11 00:00:00,4639.0
2012-07-12 00:00:00,4404.0
2012-07-13 00:00:00,3602.0
2012-07-14 00:00:00,1507.0

Output (forecast):
date,value
2012-07-15 00:00:00,1602.0
2012-07-16 00:00:00,4388.0
2012-07-17 00:00:00,4711.0
2012-07-18 00:00:00,4693.0
2012-07-19 00:00:00,4182.0
2012-07-20 00:00:00,3557.0
2012-07-21 00:00:00,1467.0

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1171.0
2012-12-31 00:00:00,1773.0
2013-01-01 00:00:00,2356.0
2013-01-02 00:00:00,3656.0
2013-01-03 00:00:00,4173.0
2013-01-04 00:00:00,3839.0
2013-01-05 00:00:00,1594.0

Output (forecast):
date,value
2013-01-06 00:00:00,1707.0
2013-01-07 00:00:00,4799.0
2013-01-08 00:00:00,4999.0
2013-01-09 00:00:00,5247.0
2013-01-10 00:00:00,5076.0
2013-01-11 00:00:00,4189.0
2013-01-12 00:00:00,1839.0

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,1888.0
2013-06-24 00:00:00,4994.0
2013-06-25 00:00:00,5158.0
2013-06-26 00:00:00,5054.0
2013-06-27 00:00:00,4775.0
2013-06-28 00:00:00,3842.0
2013-06-29 00:00:00,1579.0

Output (forecast):
date,value
2013-06-30 00:00:00,1574.0
2013-07-01 00:00:00,4568.0
2013-07-02 00:00:00,4811.0
2013-07-03 00:00:00,4787.0
2013-07-04 00:00:00,3936.0
2013-07-05 00:00:00,3421.0
2013-07-06 00:00:00,1384.0

[INPUT]",5.396832960172104,163.50916787752297,205.83988463366373
cot_few,numeric,plain,12.796000000000001,409.774,540.642,34.57584600448608,0.0019858000000000002,0.0,0.0,0.0001562,0.0013812,10190.0,3690.4,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1500.0, 4500.0, 4811.0, 4787.0, 3936.0, 3421.0, 1400.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1577.0
date: 2012-07-09 00:00:00, value: 4539.0
date: 2012-07-10 00:00:00, value: 4857.0
date: 2012-07-11 00:00:00, value: 4639.0
date: 2012-07-12 00:00:00, value: 4404.0
date: 2012-07-13 00:00:00, value: 3602.0
date: 2012-07-14 00:00:00, value: 1507.0

Output (forecast):
date: 2012-07-15 00:00:00, value: 1602.0
date: 2012-07-16 00:00:00, value: 4388.0
date: 2012-07-17 00:00:00, value: 4711.0
date: 2012-07-18 00:00:00, value: 4693.0
date: 2012-07-19 00:00:00, value: 4182.0
date: 2012-07-20 00:00:00, value: 3557.0
date: 2012-07-21 00:00:00, value: 1467.0

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1171.0
date: 2012-12-31 00:00:00, value: 1773.0
date: 2013-01-01 00:00:00, value: 2356.0
date: 2013-01-02 00:00:00, value: 3656.0
date: 2013-01-03 00:00:00, value: 4173.0
date: 2013-01-04 00:00:00, value: 3839.0
date: 2013-01-05 00:00:00, value: 1594.0

Output (forecast):
date: 2013-01-06 00:00:00, value: 1707.0
date: 2013-01-07 00:00:00, value: 4799.0
date: 2013-01-08 00:00:00, value: 4999.0
date: 2013-01-09 00:00:00, value: 5247.0
date: 2013-01-10 00:00:00, value: 5076.0
date: 2013-01-11 00:00:00, value: 4189.0
date: 2013-01-12 00:00:00, value: 1839.0

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 1888.0
date: 2013-06-24 00:00:00, value: 4994.0
date: 2013-06-25 00:00:00, value: 5158.0
date: 2013-06-26 00:00:00, value: 5054.0
date: 2013-06-27 00:00:00, value: 4775.0
date: 2013-06-28 00:00:00, value: 3842.0
date: 2013-06-29 00:00:00, value: 1579.0

Output (forecast):
date: 2013-06-30 00:00:00, value: 1574.0
date: 2013-07-01 00:00:00, value: 4568.0
date: 2013-07-02 00:00:00, value: 4811.0
date: 2013-07-03 00:00:00, value: 4787.0
date: 2013-07-04 00:00:00, value: 3936.0
date: 2013-07-05 00:00:00, value: 3421.0
date: 2013-07-06 00:00:00, value: 1384.0

[INPUT]",5.491321880931767,162.96148276816828,209.87985928621165
cot_few,textual,csv,17.678,567.226,772.902,40.91797919273377,0.002556,0.0,0.0,0.0001176,0.00104,10211.0,5113.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1574.0, 4568.0, 4811.0, 4787.0, 3936.0, 3421.0, 1384.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1 5 7 7 . 0
2012-07-09 00:00:00,4 5 3 9 . 0
2012-07-10 00:00:00,4 8 5 7 . 0
2012-07-11 00:00:00,4 6 3 9 . 0
2012-07-12 00:00:00,4 4 0 4 . 0
2012-07-13 00:00:00,3 6 0 2 . 0
2012-07-14 00:00:00,1 5 0 7 . 0

Output (forecast):
date,value
2012-07-15 00:00:00,1 6 0 2 . 0
2012-07-16 00:00:00,4 3 8 8 . 0
2012-07-17 00:00:00,4 7 1 1 . 0
2012-07-18 00:00:00,4 6 9 3 . 0
2012-07-19 00:00:00,4 1 8 2 . 0
2012-07-20 00:00:00,3 5 5 7 . 0
2012-07-21 00:00:00,1 4 6 7 . 0

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1 1 7 1 . 0
2012-12-31 00:00:00,1 7 7 3 . 0
2013-01-01 00:00:00,2 3 5 6 . 0
2013-01-02 00:00:00,3 6 5 6 . 0
2013-01-03 00:00:00,4 1 7 3 . 0
2013-01-04 00:00:00,3 8 3 9 . 0
2013-01-05 00:00:00,1 5 9 4 . 0

Output (forecast):
date,value
2013-01-06 00:00:00,1 7 0 7 . 0
2013-01-07 00:00:00,4 7 9 9 . 0
2013-01-08 00:00:00,4 9 9 9 . 0
2013-01-09 00:00:00,5 2 4 7 . 0
2013-01-10 00:00:00,5 0 7 6 . 0
2013-01-11 00:00:00,4 1 8 9 . 0
2013-01-12 00:00:00,1 8 3 9 . 0

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,1 8 8 8 . 0
2013-06-24 00:00:00,4 9 9 4 . 0
2013-06-25 00:00:00,5 1 5 8 . 0
2013-06-26 00:00:00,5 0 5 4 . 0
2013-06-27 00:00:00,4 7 7 5 . 0
2013-06-28 00:00:00,3 8 4 2 . 0
2013-06-29 00:00:00,1 5 7 9 . 0

Output (forecast):
date,value
2013-06-30 00:00:00,1 5 7 4 . 0
2013-07-01 00:00:00,4 5 6 8 . 0
2013-07-02 00:00:00,4 8 1 1 . 0
2013-07-03 00:00:00,4 7 8 7 . 0
2013-07-04 00:00:00,3 9 3 6 . 0
2013-07-05 00:00:00,3 4 2 1 . 0
2013-07-06 00:00:00,1 3 8 4 . 0

[INPUT]",7.30678342364135,223.54235915369594,277.9266512301402
cot_few,textual,plain,12.528,417.45599999999996,540.668,33.17896523475647,0.0023784,0.0,0.0,9.54e-05,0.0008456,12626.0,4368.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1574.0, 4568.0, 4811.0, 4787.0, 3936.0, 3421.0, 1384.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1 5 7 7 . 0
date: 2012-07-09 00:00:00, value: 4 5 3 9 . 0
date: 2012-07-10 00:00:00, value: 4 8 5 7 . 0
date: 2012-07-11 00:00:00, value: 4 6 3 9 . 0
date: 2012-07-12 00:00:00, value: 4 4 0 4 . 0
date: 2012-07-13 00:00:00, value: 3 6 0 2 . 0
date: 2012-07-14 00:00:00, value: 1 5 0 7 . 0

Output (forecast):
date: 2012-07-15 00:00:00, value: 1 6 0 2 . 0
date: 2012-07-16 00:00:00, value: 4 3 8 8 . 0
date: 2012-07-17 00:00:00, value: 4 7 1 1 . 0
date: 2012-07-18 00:00:00, value: 4 6 9 3 . 0
date: 2012-07-19 00:00:00, value: 4 1 8 2 . 0
date: 2012-07-20 00:00:00, value: 3 5 5 7 . 0
date: 2012-07-21 00:00:00, value: 1 4 6 7 . 0

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1 1 7 1 . 0
date: 2012-12-31 00:00:00, value: 1 7 7 3 . 0
date: 2013-01-01 00:00:00, value: 2 3 5 6 . 0
date: 2013-01-02 00:00:00, value: 3 6 5 6 . 0
date: 2013-01-03 00:00:00, value: 4 1 7 3 . 0
date: 2013-01-04 00:00:00, value: 3 8 3 9 . 0
date: 2013-01-05 00:00:00, value: 1 5 9 4 . 0

Output (forecast):
date: 2013-01-06 00:00:00, value: 1 7 0 7 . 0
date: 2013-01-07 00:00:00, value: 4 7 9 9 . 0
date: 2013-01-08 00:00:00, value: 4 9 9 9 . 0
date: 2013-01-09 00:00:00, value: 5 2 4 7 . 0
date: 2013-01-10 00:00:00, value: 5 0 7 6 . 0
date: 2013-01-11 00:00:00, value: 4 1 8 9 . 0
date: 2013-01-12 00:00:00, value: 1 8 3 9 . 0

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 1 8 8 8 . 0
date: 2013-06-24 00:00:00, value: 4 9 9 4 . 0
date: 2013-06-25 00:00:00, value: 5 1 5 8 . 0
date: 2013-06-26 00:00:00, value: 5 0 5 4 . 0
date: 2013-06-27 00:00:00, value: 4 7 7 5 . 0
date: 2013-06-28 00:00:00, value: 3 8 4 2 . 0
date: 2013-06-29 00:00:00, value: 1 5 7 9 . 0

Output (forecast):
date: 2013-06-30 00:00:00, value: 1 5 7 4 . 0
date: 2013-07-01 00:00:00, value: 4 5 6 8 . 0
date: 2013-07-02 00:00:00, value: 4 8 1 1 . 0
date: 2013-07-03 00:00:00, value: 4 7 8 7 . 0
date: 2013-07-04 00:00:00, value: 3 9 3 6 . 0
date: 2013-07-05 00:00:00, value: 3 4 2 1 . 0
date: 2013-07-06 00:00:00, value: 1 3 8 4 . 0

[INPUT]",7.016304867948654,216.33468010469332,216.67943045891548
few_shot,numeric,csv,10.466,330.0,445.284,24.587674045562743,0.001465,0.0,0.0,7.12e-05,0.0006282,7662.0,2705.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1670.0, 4520.0, 4760.0, 4680.0, 4200.0, 3500.0, 1650.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1577.0
2012-07-09 00:00:00,4539.0
2012-07-10 00:00:00,4857.0
2012-07-11 00:00:00,4639.0
2012-07-12 00:00:00,4404.0
2012-07-13 00:00:00,3602.0
2012-07-14 00:00:00,1507.0

Output (forecast):
date,value
2012-07-15 00:00:00,1602.0
2012-07-16 00:00:00,4388.0
2012-07-17 00:00:00,4711.0
2012-07-18 00:00:00,4693.0
2012-07-19 00:00:00,4182.0
2012-07-20 00:00:00,3557.0
2012-07-21 00:00:00,1467.0

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1171.0
2012-12-31 00:00:00,1773.0
2013-01-01 00:00:00,2356.0
2013-01-02 00:00:00,3656.0
2013-01-03 00:00:00,4173.0
2013-01-04 00:00:00,3839.0
2013-01-05 00:00:00,1594.0

Output (forecast):
date,value
2013-01-06 00:00:00,1707.0
2013-01-07 00:00:00,4799.0
2013-01-08 00:00:00,4999.0
2013-01-09 00:00:00,5247.0
2013-01-10 00:00:00,5076.0
2013-01-11 00:00:00,4189.0
2013-01-12 00:00:00,1839.0

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,1888.0
2013-06-24 00:00:00,4994.0
2013-06-25 00:00:00,5158.0
2013-06-26 00:00:00,5054.0
2013-06-27 00:00:00,4775.0
2013-06-28 00:00:00,3842.0
2013-06-29 00:00:00,1579.0

Output (forecast):
date,value
2013-06-30 00:00:00,1574.0
2013-07-01 00:00:00,4568.0
2013-07-02 00:00:00,4811.0
2013-07-03 00:00:00,4787.0
2013-07-04 00:00:00,3936.0
2013-07-05 00:00:00,3421.0
2013-07-06 00:00:00,1384.0

[INPUT]",3.2762014590070616,101.2891328326983,118.06320538592875
few_shot,numeric,plain,11.848,371.17199999999997,525.398,28.648967838287355,0.0016552000000000001,0.0,0.0,8.240000000000001e-05,0.0007289999999999999,10077.0,2878.6,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[1567.0, 4609.0, 4766.0, 4830.0, 4623.0, 3902.0, 1346.0]","[1600.0, 4600.0, 4800.0, 4800.0, 4400.0, 3600.0, 1650.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 3928.1648
- Median: 4465.0
- Standard Deviation: 1556.9303
- Minimum Value: 1147.0
- Maximum Value: 6425.0
- First Quartile (Q1): 2053.75
- Third Quartile (Q3): 5060.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1577.0
date: 2012-07-09 00:00:00, value: 4539.0
date: 2012-07-10 00:00:00, value: 4857.0
date: 2012-07-11 00:00:00, value: 4639.0
date: 2012-07-12 00:00:00, value: 4404.0
date: 2012-07-13 00:00:00, value: 3602.0
date: 2012-07-14 00:00:00, value: 1507.0

Output (forecast):
date: 2012-07-15 00:00:00, value: 1602.0
date: 2012-07-16 00:00:00, value: 4388.0
date: 2012-07-17 00:00:00, value: 4711.0
date: 2012-07-18 00:00:00, value: 4693.0
date: 2012-07-19 00:00:00, value: 4182.0
date: 2012-07-20 00:00:00, value: 3557.0
date: 2012-07-21 00:00:00, value: 1467.0

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1171.0
date: 2012-12-31 00:00:00, value: 1773.0
date: 2013-01-01 00:00:00, value: 2356.0
date: 2013-01-02 00:00:00, value: 3656.0
date: 2013-01-03 00:00:00, value: 4173.0
date: 2013-01-04 00:00:00, value: 3839.0
date: 2013-01-05 00:00:00, value: 1594.0

Output (forecast):
date: 2013-01-06 00:00:00, value: 1707.0
date: 2013-01-07 00:00:00, value: 4799.0
date: 2013-01-08 00:00:00, value: 4999.0
date: 2013-01-09 00:00:00, value: 5247.0
date: 2013-01-10 00:00:00, value: 5076.0
date: 2013-01-11 00:00:00, value: 4189.0
date: 2013-01-12 00:00:00, value: 1839.0

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 1888.0
date: 2013-06-24 00:00:00, value: 4994.0
date: 2013-06-25 00:00:00, value: 5158.0
date: 2013-06-26 00:00:00, value: 5054.0
date: 2013-06-27 00:00:00, value: 4775.0
date: 2013-06-28 00:00:00, value: 3842.0
date: 2013-06-29 00:00:00, value: 1579.0

Output (forecast):
date: 2013-06-30 00:00:00, value: 1574.0
date: 2013-07-01 00:00:00, value: 4568.0
date: 2013-07-02 00:00:00, value: 4811.0
date: 2013-07-03 00:00:00, value: 4787.0
date: 2013-07-04 00:00:00, value: 3936.0
date: 2013-07-05 00:00:00, value: 3421.0
date: 2013-07-06 00:00:00, value: 1384.0

[INPUT]",6.0335573254921515,193.90178050755492,267.7528660425505
