Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,34.24,1170.0,1584.77,0.0,0.072732,0.163443,0.027629,0.244359,8267,153,2.196966648101806,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4283.0, 4526.0, 4602.0, 4645.0, 4569.0, 4458.0, 4577.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,31.82,1078.33,1803.95,0.0,0.017682,0.039735,0.01066,0.094276,8267,158,0.972365140914917,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5045.0, 5111.7, 5268.6, 5279.3, 5151.2, 4999.1, 4834.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,33.9,1204.71,1952.66,0.0,0.017525,0.039382,0.010765,0.095204,8267,172,0.9566657543182372,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5235.333333333334, 5196.777777777778, 5202.444444444444, 5170.222222222222, 5149.666666666667, 5154.555555555555, 5165.333333333333]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,44.99,1884.79,2441.21,0.0,0.015254,0.034278,0.009941,0.087917,8267,157,0.8370389938354492,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5921.86, 5967.73, 5854.45, 5958.12, 5890.18, 5962.42, 5846.78]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,43.16,1766.0,2350.42,0.0,0.014884,0.033447,0.009894,0.087507,8267,157,0.827739953994751,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5741.0, 5947.0, 5720.0, 5796.0, 5733.0, 5859.0, 5774.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.36,4024.71,4319.13,0.0,0.049641,0.111553,0.021793,0.192744,10087,129,1.6979923248291016,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.42,4024.14,4317.91,0.0,0.012692,0.028522,0.007827,0.069225,10087,123,0.6998512744903564,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 9.0, 8.0, 6.0, 7.0, 3.0, 1.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.25,4024.29,4318.89,0.0,0.012904,0.028998,0.005767,0.051008,10087,134,0.7086727619171143,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 5.0, 6.0, 6.0, 6.0, 2.0, 8.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.43,4025.57,4320.08,0.0,0.014443,0.032457,0.008759,0.077467,10087,145,0.7902929782867432,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[2.0, 1.0, 5.0, 3.0, 5.0, 6.0, 7.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.45,4025.14,4319.26,0.0,0.01439,0.032337,0.009204,0.081405,10087,143,0.7880923748016357,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 2.0, 6.0, 8.0, 7.0, 1.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,csv,34.5,1228.22,1904.86,0.0,0.043258,0.09721,0.019263,0.170363,6086,159,1.5613691806793213,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5035.595, 5212.435, 4987.112, 5049.842, 4972.761, 5118.937, 5166.278]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,csv,200.0,4029.71,4323.79,0.0,0.016457,0.036982,0.010567,0.093457,6086,151,0.9019131660461426,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,csv,84.89,2591.07,2946.34,0.0,0.074981,0.168496,0.015842,0.140112,6086,192,2.726997375488281,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1234.0, 1235.0, 2018.0, 2003.0, 1239.7, 1200.05, 1140.79]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
