Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,5.82,216.86,263.62,0.0,0.376842,0.846835,0.101887,0.901103,11509,238,7.120675563812256,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1658.0, 4827.0, 5182.0, 5162.0, 4600.0, 3913.0, 1614.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,5.49,185.43,232.81,0.0,0.162788,0.365817,0.040311,0.356517,11509,238,2.95638394355774,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1654.0, 4890.0, 5249.0, 5230.0, 4675.0, 3927.0, 1665.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,5.82,216.86,263.62,0.0,0.156295,0.351225,0.041895,0.370528,11509,238,2.992128133773804,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1658.0, 4827.0, 5182.0, 5162.0, 4600.0, 3913.0, 1614.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,14.52,421.0,879.19,0.0,0.169909,0.381818,0.0385,0.340503,11509,238,2.9900319576263428,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1695.0, 4869.0, 5196.0, 5363.0, 4827.0, 4353.0, 3782.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,19.62,632.29,1241.59,0.0,0.161596,0.363137,0.041155,0.363981,11509,238,2.9615232944488525,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1469.0, 1825.0, 4975.0, 5228.0, 4835.0, 4162.0, 1674.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,33.78,1168.86,1768.56,0.0,0.444496,0.998867,0.095307,0.842912,12601,267,7.391692876815796,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4769.0, 5180.0, 4981.0, 5332.0, 4657.0, 5219.0, 4872.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,54.94,1901.57,2437.21,0.0,0.178331,0.400744,0.047737,0.422198,12601,238,3.063612222671509,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4865.0, 4955.0, 5022.0, 4893.0, 1839.0, 2187.0, 5544.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,35.4,1261.29,1866.08,0.0,0.189022,0.424769,0.042787,0.378418,12601,238,3.08343505859375,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5649.0, 5080.0, 4853.0, 4229.0, 4547.0, 4468.0, 4187.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,36.3,1340.57,2055.9,0.0,0.179823,0.404096,0.04815,0.425849,12601,238,3.0822019577026367,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5496.0, 4801.0, 5013.0, 4717.0, 5127.0, 4970.0, 5278.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,64.94,2469.14,2798.33,0.0,0.191177,0.429611,0.046999,0.415668,12601,235,3.043341875076294,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5638.0, 4396.0, 1913.0, 2241.0, 5736.0, 6072.0, 5344.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,csv,20.37,694.14,1286.82,0.0,0.356489,0.801099,0.08563,0.757325,9329,255,6.788367748260498,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1697.0, 1749.0, 4762.0, 5189.0, 5241.0, 4735.0, 1788.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,csv,35.74,1240.43,1913.94,0.0,0.169712,0.381374,0.040352,0.356878,9329,241,2.9894256591796875,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1480.0, 1839.0, 5249.0, 5107.0, 5346.0, 5277.0, 5231.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
