Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,14.931999999999999,484.59799999999996,743.0519999999999,10.086252737045289,0.0012644000000000002,0.0023317999999999998,0.0225908,0.0014665999999999998,0.0129708,6132.0,137.8,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1788.0, 1788.0, 4991.0, 5328.0, 5096.0, 4851.0, 3976.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",6.181099740337475,194.45531685711245,337.605457944625
cot,numeric,plain,6.228,197.202,303.56,21.294199085235597,0.0015724000000000003,0.0209508,0.0470808,0.0046318,0.0409652,7950.0,152.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1860.0, 4900.0, 5300.0, 5100.0, 4850.0, 3950.0, 1650.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",2.253132042291352,62.49413935722293,146.12324377045564
cot,textual,csv,5.6899999999999995,212.544,269.438,15.358608150482178,0.0015668000000000001,0.0035424,0.0343226,0.0033229999999999996,0.029387600000000003,7952.0,149.6,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1744.0, 4820.0, 5150.0, 5180.0, 4720.0, 3940.0, 1600.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.5443987509170094,23.391342330016034,33.18094127658225
cot,textual,plain,53.048,1228.496,1568.0400000000002,17.53175621032715,0.0018498,0.0077502000000000005,0.0391294,0.002902,0.0256658,9770.0,153.8,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1736.0, 4828.0, 5254.0, 5296.0, 5324.0, 4678.0, 3982.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",36.83517631286703,709.8628455173575,713.6310400970518
cot_few,numeric,csv,6.9159999999999995,231.914,358.65,19.327640342712403,0.001391,0.0044096000000000005,0.042725400000000004,0.0036844,0.0325844,6859.0,145.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1700.0, 4850.0, 5200.0, 5150.0, 4800.0, 4000.0, 1650.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1735
2012-07-09 00:00:00,4993
2012-07-10 00:00:00,5343
2012-07-11 00:00:00,5103
2012-07-12 00:00:00,4844
2012-07-13 00:00:00,3962
2012-07-14 00:00:00,1658

Output (forecast):
date,value
2012-07-15 00:00:00,1762
2012-07-16 00:00:00,4827
2012-07-17 00:00:00,5182
2012-07-18 00:00:00,5162
2012-07-19 00:00:00,4600
2012-07-20 00:00:00,3913
2012-07-21 00:00:00,1614

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1288
2012-12-31 00:00:00,1950
2013-01-01 00:00:00,2592
2013-01-02 00:00:00,4022
2013-01-03 00:00:00,4590
2013-01-04 00:00:00,4223
2013-01-05 00:00:00,1753

Output (forecast):
date,value
2013-01-06 00:00:00,1878
2013-01-07 00:00:00,5279
2013-01-08 00:00:00,5499
2013-01-09 00:00:00,5772
2013-01-10 00:00:00,5584
2013-01-11 00:00:00,4608
2013-01-12 00:00:00,2023

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,2077
2013-06-24 00:00:00,5493
2013-06-25 00:00:00,5674
2013-06-26 00:00:00,5559
2013-06-27 00:00:00,5252
2013-06-28 00:00:00,4226
2013-06-29 00:00:00,1737

Output (forecast):
date,value
2013-06-30 00:00:00,1731
2013-07-01 00:00:00,5025
2013-07-02 00:00:00,5292
2013-07-03 00:00:00,5266
2013-07-04 00:00:00,4330
2013-07-05 00:00:00,3763
2013-07-06 00:00:00,1522

[INPUT]",2.2768126844340975,62.39097551729737,149.7948294167726
cot_few,numeric,plain,4.514,166.63,211.652,6.4601099491119385,0.0017148,0.0015162,0.0146924,0.0010106,0.00894,8875.0,153.4,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1750.0, 4910.0, 5260.0, 5180.0, 4720.0, 3900.0, 1590.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1735
date: 2012-07-09 00:00:00, value: 4993
date: 2012-07-10 00:00:00, value: 5343
date: 2012-07-11 00:00:00, value: 5103
date: 2012-07-12 00:00:00, value: 4844
date: 2012-07-13 00:00:00, value: 3962
date: 2012-07-14 00:00:00, value: 1658

Output (forecast):
date: 2012-07-15 00:00:00, value: 1762
date: 2012-07-16 00:00:00, value: 4827
date: 2012-07-17 00:00:00, value: 5182
date: 2012-07-18 00:00:00, value: 5162
date: 2012-07-19 00:00:00, value: 4600
date: 2012-07-20 00:00:00, value: 3913
date: 2012-07-21 00:00:00, value: 1614

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1288
date: 2012-12-31 00:00:00, value: 1950
date: 2013-01-01 00:00:00, value: 2592
date: 2013-01-02 00:00:00, value: 4022
date: 2013-01-03 00:00:00, value: 4590
date: 2013-01-04 00:00:00, value: 4223
date: 2013-01-05 00:00:00, value: 1753

Output (forecast):
date: 2013-01-06 00:00:00, value: 1878
date: 2013-01-07 00:00:00, value: 5279
date: 2013-01-08 00:00:00, value: 5499
date: 2013-01-09 00:00:00, value: 5772
date: 2013-01-10 00:00:00, value: 5584
date: 2013-01-11 00:00:00, value: 4608
date: 2013-01-12 00:00:00, value: 2023

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 2077
date: 2013-06-24 00:00:00, value: 5493
date: 2013-06-25 00:00:00, value: 5674
date: 2013-06-26 00:00:00, value: 5559
date: 2013-06-27 00:00:00, value: 5252
date: 2013-06-28 00:00:00, value: 4226
date: 2013-06-29 00:00:00, value: 1737

Output (forecast):
date: 2013-06-30 00:00:00, value: 1731
date: 2013-07-01 00:00:00, value: 5025
date: 2013-07-02 00:00:00, value: 5292
date: 2013-07-03 00:00:00, value: 5266
date: 2013-07-04 00:00:00, value: 4330
date: 2013-07-05 00:00:00, value: 3763
date: 2013-07-06 00:00:00, value: 1522

[INPUT]",0.2694178910169107,14.061983146057313,19.146642368833234
cot_few,textual,csv,45.31,979.684,1170.192,20.630456352233885,0.0017372,0.0045902,0.044472599999999994,0.0030302,0.026798,8889.0,161.6,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1766.0, 5036.0, 5298.0, 5266.0, 4330.0, 3763.0, 1522.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1 7 3 5
2012-07-09 00:00:00,4 9 9 3
2012-07-10 00:00:00,5 3 4 3
2012-07-11 00:00:00,5 1 0 3
2012-07-12 00:00:00,4 8 4 4
2012-07-13 00:00:00,3 9 6 2
2012-07-14 00:00:00,1 6 5 8

Output (forecast):
date,value
2012-07-15 00:00:00,1 7 6 2
2012-07-16 00:00:00,4 8 2 7
2012-07-17 00:00:00,5 1 8 2
2012-07-18 00:00:00,5 1 6 2
2012-07-19 00:00:00,4 6 0 0
2012-07-20 00:00:00,3 9 1 3
2012-07-21 00:00:00,1 6 1 4

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1 2 8 8
2012-12-31 00:00:00,1 9 5 0
2013-01-01 00:00:00,2 5 9 2
2013-01-02 00:00:00,4 0 2 2
2013-01-03 00:00:00,4 5 9 0
2013-01-04 00:00:00,4 2 2 3
2013-01-05 00:00:00,1 7 5 3

Output (forecast):
date,value
2013-01-06 00:00:00,1 8 7 8
2013-01-07 00:00:00,5 2 7 9
2013-01-08 00:00:00,5 4 9 9
2013-01-09 00:00:00,5 7 7 2
2013-01-10 00:00:00,5 5 8 4
2013-01-11 00:00:00,4 6 0 8
2013-01-12 00:00:00,2 0 2 3

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,2 0 7 7
2013-06-24 00:00:00,5 4 9 3
2013-06-25 00:00:00,5 6 7 4
2013-06-26 00:00:00,5 5 5 9
2013-06-27 00:00:00,5 2 5 2
2013-06-28 00:00:00,4 2 2 6
2013-06-29 00:00:00,1 7 3 7

Output (forecast):
date,value
2013-06-30 00:00:00,1 7 3 1
2013-07-01 00:00:00,5 0 2 5
2013-07-02 00:00:00,5 2 9 2
2013-07-03 00:00:00,5 2 6 6
2013-07-04 00:00:00,4 3 3 0
2013-07-05 00:00:00,3 7 6 3
2013-07-06 00:00:00,1 5 2 2

[INPUT]",38.62649000362316,764.4253507936533,802.0609968786663
cot_few,textual,plain,122.104,2503.41,2713.5019999999995,10.685909938812255,0.0019944,0.002471,0.023940999999999997,0.0017058,0.015085999999999999,10905.0,143.4,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1.0, 7.0, 3.0, 7.0, 4.0, 8.0, 2.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1 7 3 5
date: 2012-07-09 00:00:00, value: 4 9 9 3
date: 2012-07-10 00:00:00, value: 5 3 4 3
date: 2012-07-11 00:00:00, value: 5 1 0 3
date: 2012-07-12 00:00:00, value: 4 8 4 4
date: 2012-07-13 00:00:00, value: 3 9 6 2
date: 2012-07-14 00:00:00, value: 1 6 5 8

Output (forecast):
date: 2012-07-15 00:00:00, value: 1 7 6 2
date: 2012-07-16 00:00:00, value: 4 8 2 7
date: 2012-07-17 00:00:00, value: 5 1 8 2
date: 2012-07-18 00:00:00, value: 5 1 6 2
date: 2012-07-19 00:00:00, value: 4 6 0 0
date: 2012-07-20 00:00:00, value: 3 9 1 3
date: 2012-07-21 00:00:00, value: 1 6 1 4

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1 2 8 8
date: 2012-12-31 00:00:00, value: 1 9 5 0
date: 2013-01-01 00:00:00, value: 2 5 9 2
date: 2013-01-02 00:00:00, value: 4 0 2 2
date: 2013-01-03 00:00:00, value: 4 5 9 0
date: 2013-01-04 00:00:00, value: 4 2 2 3
date: 2013-01-05 00:00:00, value: 1 7 5 3

Output (forecast):
date: 2013-01-06 00:00:00, value: 1 8 7 8
date: 2013-01-07 00:00:00, value: 5 2 7 9
date: 2013-01-08 00:00:00, value: 5 4 9 9
date: 2013-01-09 00:00:00, value: 5 7 7 2
date: 2013-01-10 00:00:00, value: 5 5 8 4
date: 2013-01-11 00:00:00, value: 4 6 0 8
date: 2013-01-12 00:00:00, value: 2 0 2 3

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 2 0 7 7
date: 2013-06-24 00:00:00, value: 5 4 9 3
date: 2013-06-25 00:00:00, value: 5 6 7 4
date: 2013-06-26 00:00:00, value: 5 5 5 9
date: 2013-06-27 00:00:00, value: 5 2 5 2
date: 2013-06-28 00:00:00, value: 4 2 2 6
date: 2013-06-29 00:00:00, value: 1 7 3 7

Output (forecast):
date: 2013-06-30 00:00:00, value: 1 7 3 1
date: 2013-07-01 00:00:00, value: 5 0 2 5
date: 2013-07-02 00:00:00, value: 5 2 9 2
date: 2013-07-03 00:00:00, value: 5 2 6 6
date: 2013-07-04 00:00:00, value: 4 3 3 0
date: 2013-07-05 00:00:00, value: 3 7 6 3
date: 2013-07-06 00:00:00, value: 1 5 2 2

[INPUT]",47.39727709478679,932.0561421073304,983.5381232743342
few_shot,numeric,csv,6.964,230.96999999999997,372.508,16.115444469451905,0.0013736,0.0035566,0.0344592,0.0034051999999999997,0.030116999999999998,6746.0,144.8,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1689.0, 4835.0, 5187.0, 5201.0, 4678.0, 3902.0, 1594.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1735
2012-07-09 00:00:00,4993
2012-07-10 00:00:00,5343
2012-07-11 00:00:00,5103
2012-07-12 00:00:00,4844
2012-07-13 00:00:00,3962
2012-07-14 00:00:00,1658

Output (forecast):
date,value
2012-07-15 00:00:00,1762
2012-07-16 00:00:00,4827
2012-07-17 00:00:00,5182
2012-07-18 00:00:00,5162
2012-07-19 00:00:00,4600
2012-07-20 00:00:00,3913
2012-07-21 00:00:00,1614

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1288
2012-12-31 00:00:00,1950
2013-01-01 00:00:00,2592
2013-01-02 00:00:00,4022
2013-01-03 00:00:00,4590
2013-01-04 00:00:00,4223
2013-01-05 00:00:00,1753

Output (forecast):
date,value
2013-01-06 00:00:00,1878
2013-01-07 00:00:00,5279
2013-01-08 00:00:00,5499
2013-01-09 00:00:00,5772
2013-01-10 00:00:00,5584
2013-01-11 00:00:00,4608
2013-01-12 00:00:00,2023

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,2077
2013-06-24 00:00:00,5493
2013-06-25 00:00:00,5674
2013-06-26 00:00:00,5559
2013-06-27 00:00:00,5252
2013-06-28 00:00:00,4226
2013-06-29 00:00:00,1737

Output (forecast):
date,value
2013-06-30 00:00:00,1731
2013-07-01 00:00:00,5025
2013-07-02 00:00:00,5292
2013-07-03 00:00:00,5266
2013-07-04 00:00:00,4330
2013-07-05 00:00:00,3763
2013-07-06 00:00:00,1522

[INPUT]",1.8252413539036416,41.7623153093791,125.9218661472264
few_shot,numeric,plain,5.706,221.82800000000003,265.18199999999996,17.679191637039185,0.0017084000000000001,0.0041038,0.0397608,0.0026914,0.023802800000000002,8762.0,157.6,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1690.0, 4720.0, 5140.0, 5070.0, 4570.0, 3950.0, 1590.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1735
date: 2012-07-09 00:00:00, value: 4993
date: 2012-07-10 00:00:00, value: 5343
date: 2012-07-11 00:00:00, value: 5103
date: 2012-07-12 00:00:00, value: 4844
date: 2012-07-13 00:00:00, value: 3962
date: 2012-07-14 00:00:00, value: 1658

Output (forecast):
date: 2012-07-15 00:00:00, value: 1762
date: 2012-07-16 00:00:00, value: 4827
date: 2012-07-17 00:00:00, value: 5182
date: 2012-07-18 00:00:00, value: 5162
date: 2012-07-19 00:00:00, value: 4600
date: 2012-07-20 00:00:00, value: 3913
date: 2012-07-21 00:00:00, value: 1614

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1288
date: 2012-12-31 00:00:00, value: 1950
date: 2013-01-01 00:00:00, value: 2592
date: 2013-01-02 00:00:00, value: 4022
date: 2013-01-03 00:00:00, value: 4590
date: 2013-01-04 00:00:00, value: 4223
date: 2013-01-05 00:00:00, value: 1753

Output (forecast):
date: 2013-01-06 00:00:00, value: 1878
date: 2013-01-07 00:00:00, value: 5279
date: 2013-01-08 00:00:00, value: 5499
date: 2013-01-09 00:00:00, value: 5772
date: 2013-01-10 00:00:00, value: 5584
date: 2013-01-11 00:00:00, value: 4608
date: 2013-01-12 00:00:00, value: 2023

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 2077
date: 2013-06-24 00:00:00, value: 5493
date: 2013-06-25 00:00:00, value: 5674
date: 2013-06-26 00:00:00, value: 5559
date: 2013-06-27 00:00:00, value: 5252
date: 2013-06-28 00:00:00, value: 4226
date: 2013-06-29 00:00:00, value: 1737

Output (forecast):
date: 2013-06-30 00:00:00, value: 1731
date: 2013-07-01 00:00:00, value: 5025
date: 2013-07-02 00:00:00, value: 5292
date: 2013-07-03 00:00:00, value: 5266
date: 2013-07-04 00:00:00, value: 4330
date: 2013-07-05 00:00:00, value: 3763
date: 2013-07-06 00:00:00, value: 1522

[INPUT]",0.30311054089226264,16.149812506651582,19.377146177907616
