Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,48.45,2077.14,2381.36,0.0,0.143872,0.323307,0.025959,0.229584,11504,240,7.279491662979126,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5985.0, 6346.0, 6369.0, 6781.0, 6395.0, 5900.0, 4972.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,41.63,1693.86,2387.04,0.0,0.072058,0.161929,0.023202,0.2052,11504,244,4.1526525020599365,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[6489.0, 5598.0, 6035.0, 5709.0, 4914.0, 5767.0, 5211.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,38.57,1502.57,2006.08,0.0,0.073392,0.164925,0.016789,0.148481,11504,243,4.047260284423828,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5968.0, 6476.0, 6285.0, 5464.0, 5895.0, 4649.0, 3989.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,49.55,2208.86,2740.98,0.0,0.077199,0.173481,0.017466,0.154471,11504,245,4.059415817260742,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[6485.0, 6539.0, 6329.0, 6137.0, 5925.0, 6085.0, 6170.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,numeric,zero_shot,0,,plain,50.68,2318.57,2905.68,0.0,0.056757,0.127544,0.015204,0.134467,11504,206,3.493258714675904,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[6548.0, 5943.0, 6761.0, 5889.0, 6572.0, 6028.0, 6697.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,140.47,3452.71,3793.12,0.0,0.16151,0.362945,0.030862,0.27295,12596,242,7.534766435623169,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[675.0, 498.0, 689.0, 561.0, 445.0, 712.0, 459.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,199.16,4023.29,4317.88,0.0,0.063787,0.143341,0.014606,0.129178,12596,220,3.862082958221436,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[6.0, 5.0, 4.0, 8.0, 6.0, 9.0, 7.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,199.1,4022.71,4317.22,0.0,0.059081,0.132766,0.013123,0.116059,12596,186,3.2720651626586914,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[6.0, 5.0, 8.0, 9.0, 7.0, 6.0, 8.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,199.24,4023.57,4317.89,0.0,0.069164,0.155425,0.014646,0.129528,12596,219,3.8383948802948,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[6.0, 4.0, 5.0, 9.0, 8.0, 6.0, 5.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,mistralai/ministral-3-3b,0.7,textual,zero_shot,0,,plain,133.64,3380.43,3730.87,0.0,0.06108,0.137257,0.015541,0.137448,12596,198,3.4877376556396484,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[645.0, 689.0, 630.0, 598.0, 712.0, 573.0, 698.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
