Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,3.6,114.29,124.29,0.006392,0.002685,0.026012,0.001629,0.014408,11146,273,10.944779634475708,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1680.0, 5150.0, 5420.0, 5390.0, 5180.0, 4450.0, 1650.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,3.9,103.14,120.74,0.006392,0.003009,0.029149,0.001987,0.017571,11146,273,12.241313695907593,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1612.0, 5180.0, 5420.0, 5380.0, 5100.0, 4250.0, 1680.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,3.58,77.52,101.0,0.006455,0.002022,0.019588,0.001341,0.011861,11146,294,8.447620630264282,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1598.45, 5087.23, 5312.89, 5289.12, 5105.67, 4215.34, 1689.78]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,2.88,83.71,107.93,0.006392,0.003,0.029069,0.001878,0.016612,11146,273,11.990546464920044,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1728.0, 5142.0, 5410.0, 5380.0, 5150.0, 4280.0, 1680.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,5.01,175.67,222.28,0.006455,0.002743,0.026575,0.001733,0.015324,11146,294,10.961014986038208,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1680.5, 4980.2, 5250.8, 5120.4, 4750.6, 3890.3, 1640.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,3.56,123.71,136.28,0.006938,0.002197,0.02129,0.001877,0.016597,12238,273,9.621861934661863,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1680.0, 4950.0, 5200.0, 5150.0, 4900.0, 4100.0, 1600.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,4.45,135.71,146.77,0.006938,0.002137,0.020702,0.001327,0.01174,12238,273,8.150229454040527,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1670.0, 4980.0, 5350.0, 5180.0, 4890.0, 4150.0, 1710.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,3.32,95.73,118.55,0.00698,0.011235,0.108851,0.013694,0.121108,12238,287,46.29851770401001,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1742.5, 5123.8, 5398.2, 5371.6, 5064.9, 4132.4, 1685.3]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,6.72,238.29,358.37,0.006818,0.004491,0.043515,0.003105,0.027465,12238,233,18.90957355499268,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1522.0, 5025.0, 5292.0, 5266.0, 4330.0, 3763.0, 1522.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,3.26,69.43,94.19,0.006938,0.028721,0.27827,0.01938,0.171395,12238,273,122.12041783332825,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1580.0, 5100.0, 5350.0, 5300.0, 5100.0, 4300.0, 1650.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
