Dataset,Model,Parameters,SMAPE,MAE,RMSE,CarbonTracker CO₂ (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO₂ (g),Eco2AI Energy Consumption (Wh),Time (s),Actual Values,Predicted Values
ETTh2,RandomForest,RandomForestRegressor(),21.03,6.638979051920981,8.92388396513127,0.007156468543,0.016081952,0.002238064192149108,0.019793791332275934,0.5747668743133545,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.578134599014174, 25.358882540755612, 25.31018229941857, 25.254783708914132, 25.3390286220743, 25.373755442070216, 25.389513585031203, 25.39334397276837, 25.39828292858392, 25.42765381590521, 25.41331845070557, 25.661042466686023, 25.948231502318677, 26.481953652197316, 26.742293692615767, 27.138332073650258, 27.05094801241181, 26.94140132329549, 27.075656418811537, 27.09493737156622, 27.069976477875777, 27.102985582080883, 27.20437013218248, 27.288519414168718]"
ETTh2,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",20.98,6.623876525767327,8.691264338372653,0.002322930833,0.005220069000000001,0.0015043503639233552,0.013304710963423708,0.18428659439086914,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[24.81633758544922, 24.53276252746582, 25.42465591430664, 25.3984432220459, 25.619518280029297, 25.833938598632812, 25.759824752807617, 25.38355255126953, 25.89510154724121, 25.99632453918457, 25.781574249267578, 26.378631591796875, 26.999446868896484, 26.754953384399414, 26.852251052856445, 26.37019920349121, 26.502710342407227, 26.502710342407227, 26.777734756469727, 26.552013397216797, 26.671920776367188, 26.756206512451172, 27.53476333618164, 28.09859848022461]"
ETTh2,CatBoost,"CatBoostRegressor(loss_function='RMSE', verbose=0)",19.78,6.290557937740029,8.006587554033286,0.010043993641,0.022570772,0.0029843947523166678,0.026394456060606065,0.578244686126709,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[26.265076968755785, 26.512730735730727, 26.703670554931882, 26.96930073660384, 26.83660958514862, 26.638663704792144, 26.744757163403214, 26.833263581886072, 27.275980527585542, 27.671034331607892, 27.428170402640923, 27.44053468424685, 27.00865838555216, 26.90481804280366, 26.716927076133118, 26.549035395310064, 26.67316261529259, 26.31425195743354, 25.700054183468957, 26.028412257093308, 25.98675516188119, 26.193506642425525, 26.34488704607643, 26.340954214074497]"
Electricity,RandomForest,RandomForestRegressor(),11.33,0.0989845933590099,0.14199639299800507,0.011244632805,0.025268838000000002,0.0031678194811694416,0.02801669318000019,0.6431243419647217,"[-1.3576079549175253, -1.2319729739552423, -0.8326461481161339, 1.15648566760057, 1.323789800880324, 1.4365983805002056, 1.5555633846058976, 1.565564944035888, 1.5505723931195494, 1.498581995745614, 1.4061008108109196, 1.315577300811573, 1.3268976477931795, 1.3821665225805704, 1.378762041291736, 0.34856503342615, -0.3266232970943278, -0.6547632963120367, -1.127102273207519, -1.1688694552312366, -1.1970230723741866, -1.3975665173128131, -1.3994136051606458, -1.4415986164323962]","[-1.3736296814886837, -1.154294395800495, -0.309814073064258, 1.0495390267189983, 1.2586660911477963, 1.2941224215866662, 1.3357140406036134, 1.4083831299033556, 1.3839230235633317, 1.3964590807049655, 1.3865877382083303, 1.3078041478755011, 1.3010415502208688, 1.3686541794265288, 1.4523589766511398, 0.42885412752659136, -0.24890239918532306, -0.7457259769523197, -1.0772095183912065, -1.0830809277367068, -1.2520614193489434, -1.3393481016675957, -1.3335599275801433, -1.346866504638727]"
Electricity,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",10.2,0.08775846921196151,0.13262486104791738,0.002112768834,0.004747795,0.001671245511652126,0.014780757870434213,0.12107968330383301,"[-1.3576079549175253, -1.2319729739552423, -0.8326461481161339, 1.15648566760057, 1.323789800880324, 1.4365983805002056, 1.5555633846058976, 1.565564944035888, 1.5505723931195494, 1.498581995745614, 1.4061008108109196, 1.315577300811573, 1.3268976477931795, 1.3821665225805704, 1.378762041291736, 0.34856503342615, -0.3266232970943278, -0.6547632963120367, -1.127102273207519, -1.1688694552312366, -1.1970230723741866, -1.3975665173128131, -1.3994136051606458, -1.4415986164323962]","[-1.378494381904602, -1.1233913898468018, -0.3069719672203064, 1.1224015951156616, 1.2445671558380127, 1.369256854057312, 1.4606750011444092, 1.4149866104125977, 1.445700764656067, 1.4429923295974731, 1.3884761333465576, 1.3193742036819458, 1.31145179271698, 1.3280644416809082, 1.421280860900879, 0.4775891900062561, -0.3423912227153778, -0.7895027995109558, -1.0455451011657715, -1.0890142917633057, -1.2998764514923096, -1.324938416481018, -1.347215175628662, -1.3792259693145752]"
Electricity,CatBoost,"CatBoostRegressor(loss_function='RMSE', verbose=0)",8.41,0.08396419804591371,0.10371804379229842,0.008922391811,0.020050318999999997,0.002831721293426312,0.025044188004018003,0.5100390911102295,"[-1.3576079549175253, -1.2319729739552423, -0.8326461481161339, 1.15648566760057, 1.323789800880324, 1.4365983805002056, 1.5555633846058976, 1.565564944035888, 1.5505723931195494, 1.498581995745614, 1.4061008108109196, 1.315577300811573, 1.3268976477931795, 1.3821665225805704, 1.378762041291736, 0.34856503342615, -0.3266232970943278, -0.6547632963120367, -1.127102273207519, -1.1688694552312366, -1.1970230723741866, -1.3975665173128131, -1.3994136051606458, -1.4415986164323962]","[-1.3861338206693843, -1.1945962833109793, -0.6202327485074447, 1.0980760337669344, 1.2140771753342603, 1.3043969333503571, 1.3522997791737368, 1.3740990593067044, 1.3914017789698345, 1.4019859811347148, 1.3912480938086689, 1.298849403726552, 1.3075100545472744, 1.3464608315547817, 1.394743222090111, 0.2772731380460085, -0.3801001174046327, -0.8214762822945947, -1.0713442565784752, -1.0776373603647165, -1.245320375604232, -1.340798260783462, -1.3432488452022175, -1.3579508568305183]"
Traffic,RandomForest,RandomForestRegressor(),26.19,126.35041666666666,185.56525910713998,0.00885679258,0.019902905,0.002794222615810795,0.02471254380785887,0.5083377361297607,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 69.96, 577.26, 1329.17, 1212.14, 906.08, 650.7, 569.7, 686.39, 790.03, 791.41, 838.52, 966.37, 1181.48, 1738.49, 1703.02, 1001.93, 697.99, 549.77, 449.4, 144.68, 36.16, 0.0, 0.0]"
Traffic,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",50.24,128.09417724609375,201.40194186625908,0.001522523677,0.003421402,0.001623032312152869,0.014354352759402392,0.0881185531616211,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[-0.8001520037651062, 70.56568908691406, 608.3578491210938, 1465.2418212890625, 1183.072265625, 868.2709350585938, 687.4744262695312, 547.216796875, 828.7981567382812, 944.9592895507812, 927.6536865234375, 821.3146362304688, 973.1921997070312, 1163.219970703125, 1805.595947265625, 1757.744384765625, 1071.59716796875, 759.202880859375, 558.4418334960938, 457.166748046875, 125.35704803466797, 31.135345458984375, -0.7682005167007446, -0.00355583056807518]"
Traffic,CatBoost,"CatBoostRegressor(loss_function='RMSE', verbose=0)",52.03,131.95320662649436,204.82677772378858,0.00896130093,0.020137755,0.0027700717423186517,0.02449894968840842,0.5200538635253906,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[-6.711403347605369, 54.11311243058901, 570.8085524736089, 1407.3809750918913, 1210.3906440253272, 862.3063225006302, 635.974498732783, 559.5363409952143, 814.306920452319, 945.3203589498878, 870.1108907658203, 852.0557591915697, 921.2662080950577, 1092.6075084411304, 1830.8306554573953, 1729.9166226964696, 1090.8145183124227, 735.9284083578636, 572.7670995997834, 493.0801323368225, 132.484576322289, 34.71728748333214, -1.799444535230009, -1.5494712622428324]"
Covid-19,RandomForest,RandomForestRegressor(),50.23,2243.8985714285714,2680.560545123245,0.001952947011,0.004388645,0.0017098768115754441,0.015122419156227121,0.11307668685913086,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4379.37, 4708.92, 4984.04, 5584.33, 5694.89, 6325.29, 7085.45]"
