Dataset,Model,Parameters,SMAPE,MAE,RMSE,CarbonTracker CO₂ (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO₂ (g),Eco2AI Energy Consumption (Wh),Time (s),Actual Values,Predicted Values
ETTh2,AutoARIMA,AutoARIMA,9.87,3.355113752169414,4.265386031298026,0.008999497297,0.020223589,0.0024434938119167727,0.021610643164057104,0.7229533195495605,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.8582914617483, 26.48758349428583, 27.3954281419918, 28.517836169803928, 29.76136757216224, 31.000389141024726, 32.13117849962518, 33.079957367039306, 33.79718346470626, 34.25672134567418, 34.456522933378004, 34.415886520318914, 34.170688202025765, 33.76816584553735, 33.26168948649873, 32.70570412755569, 32.15123088988641, 31.642257137442645, 31.213186005940695, 30.887394057098835, 30.676860905470406, 30.582757442518382, 30.596816369807772, 30.70326936470223]"
ETTh2,AutoETS,AutoETS,22.92,7.138422418236273,8.979149052096139,0.010685848831,0.024013143,0.0027506950291848,0.024327578993223607,0.8397789001464844,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783, 25.708842650699783]"
ETTh2,Naive,Naive,22.92,7.13848313556275,8.979206391759742,0.0,,0.0009856448252109538,0.008717197686465377,0.002797842025756836,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801, 25.70876978990801]"
ETTh2,SeasonalNaive,SeasonalNaive,3.57,1.1169334482156834,1.3655532423528123,0.0,,0.0010149121593148948,0.008976042587401452,0.0027761459350585938,"[25.438815843419672, 25.11408604030149, 27.441334250214123, 29.78339587358969, 33.667197503097604, 36.963197843471725, 39.90020656140417, 40.86467813160521, 41.758197477747565, 43.024414423519765, 41.10020079313507, 38.90231931806435, 36.38259664436647, 33.6089308548376, 31.88214675819074, 31.195817552995464, 30.462153300589343, 30.02307758015157, 29.380522847524663, 28.63795348666649, 28.455885915382773, 27.73558518302124, 27.5646899616739, 27.317390674137844]","[28.24704502298744, 28.47928358307009, 29.108079994881145, 31.080367915732253, 34.19168569557729, 37.19763894660176, 38.5506765213118, 39.29615892004777, 40.780121966264765, 41.39137831163442, 40.315544535701406, 38.21798553478447, 36.29288898788808, 34.69549301628268, 33.437712286864404, 32.53286384879778, 31.649826430515468, 30.66358283926148, 30.077464152434025, 28.586860004163643, 28.01898640091124, 27.641455041467086, 26.43725728408789, 25.70876978990801]"
Electricity,AutoARIMA,AutoARIMA,117.15,0.8476771609780928,0.9422539341403204,0.00452827092,0.01017589,0.0018051488187266047,0.015965019755429025,0.3522965908050537,"[-1.3576079549175253, -1.2319729739552423, -0.8326461481161339, 1.15648566760057, 1.323789800880324, 1.4365983805002056, 1.5555633846058976, 1.565564944035888, 1.5505723931195494, 1.498581995745614, 1.4061008108109196, 1.315577300811573, 1.3268976477931795, 1.3821665225805704, 1.378762041291736, 0.34856503342615, -0.3266232970943278, -0.6547632963120367, -1.127102273207519, -1.1688694552312366, -1.1970230723741866, -1.3975665173128131, -1.3994136051606458, -1.4415986164323962]","[-1.1948893788262713, -0.8351506418266759, -0.4664607181522001, -0.11629941470244404, 0.22013845761464734, 0.5104730590140389, 0.7256324613617279, 0.8597481216853287, 0.9191738465348924, 0.9115099129996485, 0.8475763247017247, 0.7428415486679303, 0.6144175369319742, 0.4780543395787836, 0.34721063289048143, 0.23267963418352672, 0.142014245923481, 0.07924377075041039, 0.04514061731303792, 0.037779733137926846, 0.0531788926624886, 0.08599242450541444, 0.13022987572464606, 0.1799163704079888]"
Electricity,AutoETS,AutoETS,10.31,0.07938697380573267,0.14988978597816097,0.003363871529,0.007559262,0.0015616580156599601,0.01381154883885026,0.26274871826171875,"[-1.3576079549175253, -1.2319729739552423, -0.8326461481161339, 1.15648566760057, 1.323789800880324, 1.4365983805002056, 1.5555633846058976, 1.565564944035888, 1.5505723931195494, 1.498581995745614, 1.4061008108109196, 1.315577300811573, 1.3268976477931795, 1.3821665225805704, 1.378762041291736, 0.34856503342615, -0.3266232970943278, -0.6547632963120367, -1.127102273207519, -1.1688694552312366, -1.1970230723741866, -1.3975665173128131, -1.3994136051606458, -1.4415986164323962]","[-1.3641302772967203, -1.1915837267239358, -0.16951871207779756, 1.1587389742954315, 1.300908004387203, 1.3786358193610213, 1.4479281186475388, 1.4430183909589924, 1.4827535744313103, 1.4484160813509777, 1.4091548364939095, 1.414843863491007, 1.3658572756311949, 1.4444219682488042, 1.4876453913954786, 0.41704376249248354, -0.31262202454746424, -0.788841740794588, -1.0883730002353045, -1.115448949293656, -1.234717296215193, -1.3662766795574803, -1.3815902647149818, -1.3855491062089091]"
Electricity,Naive,Naive,122.34,1.6384341819691224,2.061036447185152,0.0,,0.001030452277143656,0.009113481830949738,0.0028831958770751953,"[-1.3576079549175253, -1.2319729739552423, -0.8326461481161339, 1.15648566760057, 1.323789800880324, 1.4365983805002056, 1.5555633846058976, 1.565564944035888, 1.5505723931195494, 1.498581995745614, 1.4061008108109196, 1.315577300811573, 1.3268976477931795, 1.3821665225805704, 1.378762041291736, 0.34856503342615, -0.3266232970943278, -0.6547632963120367, -1.127102273207519, -1.1688694552312366, -1.1970230723741866, -1.3975665173128131, -1.3994136051606458, -1.4415986164323962]","[-1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923, -1.4240538373320923]"
Electricity,SeasonalNaive,SeasonalNaive,8.01,0.08307154287703235,0.11849871243673818,0.0,,0.0011369009160647255,0.010054930317458593,0.0027112960815429688,"[-1.3576079549175253, -1.2319729739552423, -0.8326461481161339, 1.15648566760057, 1.323789800880324, 1.4365983805002056, 1.5555633846058976, 1.565564944035888, 1.5505723931195494, 1.498581995745614, 1.4061008108109196, 1.315577300811573, 1.3268976477931795, 1.3821665225805704, 1.378762041291736, 0.34856503342615, -0.3266232970943278, -0.6547632963120367, -1.127102273207519, -1.1688694552312366, -1.1970230723741866, -1.3975665173128131, -1.3994136051606458, -1.4415986164323962]","[-1.3638432080847611, -1.1310679611109495, -0.7355673154134141, 0.8491303812312555, 1.001317945602989, 1.4476921322807528, 1.4732696129295086, 1.5743280361570275, 1.606502186961755, 1.606373730960872, 1.4413698371137535, 1.3439449618735513, 1.3254997910887072, 1.524569261113642, 1.4137235395014984, 0.354228399992826, -0.3944604417656832, -0.8443203715845474, -1.005849497096624, -1.1077778504544211, -1.295654561821468, -1.3358428890080591, -1.3713156061710172, -1.4240538373320923]"
Traffic,AutoARIMA,AutoARIMA,76.82,366.1743469238281,456.86614218499494,0.02990437958,0.067200853,0.005830146522299875,0.051562731803587857,2.265350818634033,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[52.32014846801758, 101.1693344116211, 314.8835144042969, 566.8323974609375, 614.7271728515625, 575.8478393554688, 665.7216186523438, 775.8168334960938, 725.4270629882812, 631.3655395507812, 662.7980346679688, 715.9423217773438, 649.345703125, 568.3506469726562, 600.1337280273438, 645.9049072265625, 595.4176025390625, 542.61669921875, 582.6039428710938, 625.2344360351562, 587.05517578125, 552.1184692382812, 591.47802734375, 625.2599487304688]"
Traffic,AutoETS,AutoETS,54.98,130.0233917236328,160.19311465969753,0.003474238735,0.007807278000000001,0.0016020072120324492,0.014168403470734238,0.2642850875854492,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[48.346580505371094, 142.14468383789062, 586.2982788085938, 1146.1771240234375, 1055.6180419921875, 791.9097900390625, 630.8259887695312, 589.7877197265625, 711.8336791992188, 804.2097778320312, 715.9270629882812, 710.6951904296875, 836.73486328125, 1042.729736328125, 1393.7696533203125, 1300.7412109375, 841.6036376953125, 613.306640625, 483.5726318359375, 478.9820556640625, 186.59912109375, 109.13568878173828, 54.01991271972656, 43.974143981933594]"
